name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
稀缺厨房朝北户型，进房间视野开阔，此房有故事。,55473元/平,340,静安新城（十一区）,静安新城,61.29平,
毛坯房，上门实拍，热推好房，满五税费低,51243元/平,340,静安新城（十一区）,静安新城,66.35平,
罗阳五村，交通发达，新鲜好房，精致装修,46789元/平,325,罗阳五村,梅陇,69.46平,
精装大二房，送同等面积的大露台，家具家电全部赠送,56565元/平,479,大上海国际花园（六区）,静安新城,84.68平,
稀缺厨房朝北户型，进房间视野开阔，此房有故事。,55473元/平,340,静安新城（十一区）,静安新城,61.29平,
稀缺厨房朝北户型，进房间视野开阔，此房有故事。,55473元/平,340,静安新城（十一区）,静安新城,61.29平,
稀缺厨房朝北户型，进房间视野开阔，此房有故事。,55473元/平,340,静安新城（十一区）,静安新城,61.29平,
稀缺厨房朝北户型，进房间视野开阔，此房有故事。,55473元/平,340,静安新城（十一区）,静安新城,61.29平,
梅陇二村经典小一房，环境安静,50000元/平,210,梅陇二村,梅陇,42.0平,
龙柏二村全明三房一厅，位置好，采光好，诚意出售！,48827元/平,402,龙柏二村,龙柏,82.33平,
南北通全明两房，前后栋距开阔采光好，近地铁,66438元/平,620,金汇丽舍,金汇,93.32平,
观望后悔莫及，正规成熟小区，热推好房，3室2厅,54913元/平,760,明申花园（公寓）,金虹桥,138.4平,
小区稀缺三房，满五唯一税少，房东诚售，看房方便,35287元/平,310,申莘新村,颛桥,87.85平,
采光无遮挡，业主诚心出售，临近地铁，双南双天井,43846元/平,285,梅陇二村,梅陇,65.0平,
地铁房、黄金楼层、采光无遮挡,31581元/平,110,昆阳小区,老闵行,34.83平,
稀缺厨房朝北户型，进房间视野开阔，此房有故事。,55473元/平,340,静安新城（十一区）,静安新城,61.29平,
毛坯房，上门实拍，热推好房，满五税费低,51243元/平,340,静安新城（十一区）,静安新城,66.35平,
罗阳五村，交通发达，新鲜好房，精致装修,46789元/平,325,罗阳五村,梅陇,69.46平,
精装大二房，送同等面积的大露台，家具家电全部赠送,56565元/平,479,大上海国际花园（六区）,静安新城,84.68平,
梅陇二村经典小一房，环境安静,50000元/平,210,梅陇二村,梅陇,42.0平,
龙柏二村全明三房一厅，位置好，采光好，诚意出售！,48827元/平,402,龙柏二村,龙柏,82.33平,
南北通全明两房，前后栋距开阔采光好，近地铁,66438元/平,620,金汇丽舍,金汇,93.32平,
观望后悔莫及，正规成熟小区，热推好房，3室2厅,54913元/平,760,明申花园（公寓）,金虹桥,138.4平,
毛坯房，上门实拍，热推好房，满五税费低,51243元/平,340,静安新城（十一区）,静安新城,66.35平,
罗阳五村，交通发达，新鲜好房，精致装修,46789元/平,325,罗阳五村,梅陇,69.46平,
精装大二房，送同等面积的大露台，家具家电全部赠送,56565元/平,479,大上海国际花园（六区）,静安新城,84.68平,
梅陇二村经典小一房，环境安静,50000元/平,210,梅陇二村,梅陇,42.0平,
