name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
苏堤东里  私产满五唯一  南北通透  采光好,单价23826元/平米,173,| 2室1厅 | 72.61平米 | 南 北 | 简装,高楼层(共6层)  1996年建板楼  -,
学区房，不限购，速销房源，满五有二套，简单装修。,单价22133元/平米,165,| 2室1厅 | 74.55平米 | 东 西 | 简装,高楼层(共7层)  1998年建板楼  -,
江川北里 2室1厅 260万,单价29934元/平米,260,| 2室1厅 | 86.86平米 | 南 北 | 简装,中楼层(共6层)  2000年建板楼  -,
仁恒海河广场 东照三居室 观景海河 视野好,单价54584元/平米,880,| 3室2厅 | 161.22平米 | 东 | 精装,中楼层(共33层)  2012年建板楼  -,
玉泉里 简装大一室 可贷款 南开中心小学片,单价25948元/平米,163,| 1室1厅 | 62.82平米 | 西 北 | 其他,中楼层(共6层)  1998年建板楼  -,
奥城公寓 民水民电 阳面 黄金楼层 低价出售,单价10506元/平米,52,| 1室0厅 | 49.5平米 | 南 | 精装,高楼层(共29层)  2005年建塔楼  -,
居华里  学区三室  位置好 采光充足,单价21938元/平米,190,| 3室1厅 | 86.61平米 | 南 北 | 简装,高楼层(共6层)  1997年建板楼  -,
翰雅园 2室2厅 430万,单价37395元/平米,430,| 2室2厅 | 114.99平米 | 南 北 | 精装,低楼层(共6层)  2006年建板楼  -,
华智里 2室1厅 155万,单价18818元/平米,155,| 2室1厅 | 82.37平米 | 南 | 简装,高楼层(共6层)  1999年建板楼  -,
欣苑公寓 全明户型  80平米大客厅 视野开阔 单价低,单价21915元/平米,495,| 3室2厅 | 225.88平米 | 南 西 | 精装,高楼层(共24层)  2000年建板楼  -,
深蓝公寓 南北通透 采光充足 配套完善,单价19667元/平米,118,| 2室1厅 | 60平米 | 南 北 | 其他,高楼层(共7层)  1997年建板楼  -,
迎风里 私产 能贷款 有车位 临近地铁 三室 婚房首选！,单价24873元/平米,200,| 3室1厅 | 80.41平米 | 东南 | 精装,中楼层(共8层)  1986年建板楼  -,
玉泉里 3居室 精装修 中心小学学区房,单价27055元/平米,320,| 3室1厅 | 118.28平米 | 南 北 | 精装,高楼层(共6层)  1998年建板楼  -,
绮华里 2室1厅 272万,单价30666元/平米,272,| 2室1厅 | 88.7平米 | 南 北 | 精装,高楼层(共6层)  2002年建板楼  -,
