name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
都会轩 实验学区 精装一居 黄金楼层 私产过2 大产权,单价59723元/平米,430,| 1室1厅 | 72平米 | 西北 | 精装,低楼层(共49层)  2012年建板楼  -,
中心公园紧邻 金宝公寓 私产满二 配套齐全,单价40828元/平米,600,| 2室2厅 | 146.96平米 | 南 | 精装,低楼层(共14层)  1997年建板楼  -,
诚基经贸中心 楼层好 采光好 地铁房 学区房,单价30883元/平米,210,| 2室2厅 | 68平米 | 北 | 简装,中楼层(共33层)  2008年建塔楼  -,
金德园 东南金角 中间楼层 采光好 满屋唯一 税费少,单价57558元/平米,500,| 2室2厅 | 86.87平米 | 东南 | 精装,低楼层(共30层)  2011年建板楼  -,
振河里 2室1厅 170万,单价28334元/平米,170,| 2室1厅 | 60平米 | 南 | 简装,高楼层(共7层)  1985年建板楼  -,
金德园 精装四室 东南金角 次顶楼 视野开阔,单价51214元/平米,595,| 4室2厅 | 116.18平米 | 东南 | 精装,高楼层(共46层)  2011年建板楼  -,
生甡里 紧邻五大道 历史化气氛浓 环境好,单价88236元/平米,300,| 3室1厅 | 34平米 | 南 西 北 | 简装,低楼层(共3层)  1990年建板楼  -,
信华南里 黄金二楼 私产满二 明厨明卫,单价48478元/平米,250,| 2室0厅 | 51.57平米 | 西南 | 精装,低楼层(共6层)  1985年建板楼  -,
新福方里 万全学区 南北通透 精装两室,单价41221元/平米,600,| 2室1厅 | 145.56平米 | 南 北 | 精装,低楼层(共17层)  1998年建板楼  -,
吉利花园 全明户型 采光充足 无遮挡,单价55577元/平米,298,| 1室1厅 | 53.62平米 | 南 | 简装,中楼层(共32层)  2002年建板楼  -,
信华南里 3室1厅 178万,单价29210元/平米,178,| 3室1厅 | 60.94平米 | 东南 | 其他,中楼层(共6层)  1985年建板楼  -,
协安里 朝向好 采光好 私产可贷款,单价33922元/平米,200,| 2室1厅 | 58.96平米 | 东南 | 精装,高楼层(共6层)  1996年建板楼  -,
嘉利中心 中间楼层 满五唯一 精装修两室,单价16889元/平米,190,| 2室2厅 | 112.5平米 | 东北 | 精装,中楼层(共30层)  2000年建塔楼  -,
明筑轩 地铁房 采光充足 无遮挡,单价52911元/平米,350,| 2室1厅 | 66.15平米 | 北 | 精装,中楼层(共30层)  2007年建板楼  -,
津塔公寓 低楼层 全明户型 临近海河,单价33371元/平米,300,| 1室0厅 | 89.9平米 | 西南 | 其他,低楼层(共30层)  2010年建塔楼  -,
烟台道小区 安静温馨  学区房  大两室,单价36627元/平米,185,| 2室0厅 | 50.51平米 | 北 | 简装,中楼层(共7层)  1985年建板楼  -,
兴河里 一楼 交通便利 给老人住 投资首选住房,单价38260元/平米,160,| 1室1厅 | 41.82平米 | 东 | 简装,低楼层(共5层)  板楼  -,
瑞景名郡 经典复式 低楼层 采光好,单价28724元/平米,135,| 2室1厅 | 47平米 | 东 | 简装,低楼层(共17层)  2012年建塔楼  -,
紧邻海光寺 繁华地段 交通便利 诚意出售,单价21335元/平米,125,| 1室1厅 | 58.59平米 | 东 | 其他,中楼层(共46层)  1990年建板楼  -,
和平时光 精装两室 配套齐全 楼层好 视野开阔,单价54110元/平米,505,| 2室1厅 | 93.33平米 | 西南 | 精装,中楼层(共33层)  2013年建板楼  -,
忠厚里 实验小学片 阳面中独 私产房,单价73029元/平米,300,| 1室1厅 | 41.08平米 | 南 | 简装,中楼层(共5层)  1990年建板楼  -,
新文化花园新景居 1室0厅 187万,单价51945元/平米,187,| 1室0厅 | 36平米 | 东 西北 | 其他,中楼层(共30层)  2006年建板楼  -,
保利金香槟 精装一室 黄金楼层 地铁房,单价28997元/平米,160,| 1室1厅 | 55.18平米 | 西北 | 精装,中楼层(共24层)  2012年建板楼  -,
