name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
翠湖山庄 实用三房 环境优美 配套成熟,单价32405元/平米,335,| 3室2厅 | 103.38平米 | 北 | 简装,中楼层(共31层)  1999年建塔楼  -,
时尚明苑 精致三房 安静看花园,单价30000元/平米,252,| 3室2厅 | 84平米 | 西 | 精装,中楼层(共11层)  2006年建塔楼  -,
羊城花园 精美两房 厅出户型 采光充足,单价23612元/平米,170,| 2室2厅 | 72平米 | 西 | 精装,中楼层(共18层)  2003年建塔楼  -,
棠德花园 黄金楼层 三房 精装修,单价17192元/平米,153,| 3室2厅 | 89平米 | 西 | 其他,中楼层(共9层)  1997年建塔楼  -,
金海花园 温馨两房 时尚装修,单价43919元/平米,325,| 2室1厅 | 74平米 | 北 | 简装,中楼层(共30层)  2002年建塔楼  -,
羊城花园 精致一房 送全部家私,单价20953元/平米,88,| 1室1厅 | 42平米 | 北 | 精装,低楼层(共6层)  2000年建塔楼  -,
美好居 方正两房 采光极佳 业主诚心放售,单价26207元/平米,152,| 2室2厅 | 58平米 | 西 | 简装,中楼层(共12层)  1998年建塔楼  -,
翠湖山庄 两房一厅 精装修 带省级学位,单价30113元/平米,268,| 2室1厅 | 89平米 | 西 | 简装,高楼层(共19层)  1999年建塔楼  -,
理想蓝堡 安静望花园 住家首先,单价42707元/平米,568,| 3室2厅 | 133平米 | 南 | 精装,中楼层(共29层)  2004年建塔楼  -,
美林湖畔 假复式好房,单价39760元/平米,330,| 3室1厅 | 83平米 | 西南 | 精装,高楼层(共11层)  2005年建塔楼  -,
地铁上盖 精装修复式楼房 采光视野靓,单价42101元/平米,295,| 3室2厅 | 70.07平米 | 西 | 简装,高楼层(共18层)  2001年建塔楼  -,
美林湖畔花园,单价37255元/平米,380,| 3室1厅 | 102平米 | 东南 | 精装,高楼层(共11层)  2005年建塔楼  -,
华景新城 陶然庭苑 精装四房,单价45617元/平米,666,| 4室2厅 | 146平米 | 南 | 其他,中楼层(共36层)  2006年建塔楼  -,
领峰园 黄金楼层 投资首选,单价52381元/平米,440,| 1室1厅 | 84平米 | 南 | 精装,中楼层(共42层)  2009年建塔楼  -,
美好居，房源真实，价格超值,单价24616元/平米,160,| 2室1厅 | 65平米 | 西 | 简装,高楼层(共19层)  1998年建塔楼  -,
天雅居 方正两房 采光通风好 低价急卖,单价20780元/平米,160,| 2室2厅 | 77平米 | 北 | 简装,高楼层(共13层)  1999年建塔楼  -,
东方新世界2期 西南向3房 大型小区,单价51406元/平米,600,| 3室2厅 | 116.72平米 | 西北 | 精装,高楼层(共23层)  2009年建塔楼  -,
旭景花园 安静三房 交通方便 采光保养好,单价24490元/平米,240,| 3室2厅 | 98平米 | 北 | 简装,低楼层(共14层)  2002年建塔楼  -,
链家满堂红 逸意居电梯高层 业主诚卖,单价29474元/平米,560,| 4室2厅 | 190平米 | 北 | 简装,高楼层(共31层)  1998年建塔楼  -,
贤人阁 中楼层 采光好,单价34154元/平米,222,| 2室1厅 | 65平米 | 北 | 简装,低楼层(共22层)  1997年建塔楼  -,
华门阁温馨三房 居家精装修 满五唯一,单价33788元/平米,315,| 3室2厅 | 93.23平米 | 西北 | 精装,高楼层(共9层)  2009年建塔楼  -,
汇景新城明月清泉 帝皇别院 倾世之作,单价158334元/平米,9500,| 5室4厅 | 600平米 | 东南 | 精装,低楼层(共1层)  2011年建  -,
骏景花园 复式5房 精装修 视野开阔,单价25742元/平米,538,| 5室2厅 | 209平米 | 东北 | 精装,高楼层(共12层)  2000年建板楼  -,
保利心语花园 方正三房 地铁房带学位,单价61819元/平米,680,| 3室2厅 | 110平米 | 北 | 简装,高楼层(共32层)  2008年建塔楼  -,
金海花园 标准三房 正南向望花园,单价46257元/平米,485,| 3室2厅 | 104.85平米 | 南 | 简装,中楼层(共30层)  2002年建塔楼  -,
盈彩2期楼王单位，高楼层,单价28308元/平米,276,| 3室1厅 | 97.5平米 | 西北 | 简装,高楼层(共23层)  2003年建塔楼  -,
天朗明居 安静两房 高层视野好 近地铁,单价33993元/平米,208,| 2室2厅 | 61.19平米 | 北 | 精装,中楼层(共26层)  2001年建塔楼  -,
富力花园 精装修 业主换房 南向,单价15307元/平米,75,| 2室2厅 | 49平米 | 南 | 其他,高楼层(共6层)  1999年建塔楼  -,
华景新城 泽晖苑 安静小区,单价35715元/平米,300,| 2室2厅 | 84平米 | 西北 | 简装,高楼层(共9层)  2009年建塔楼  -,
富力天朗明居 精装一房 交通方便 配套齐,单价30000元/平米,138,| 1室1厅 | 46平米 | 东 | 精装,高楼层(共26层)  2001年建塔楼  -,
中兴花园 复试四房 格局方正,单价26038元/平米,138,| 4室2厅 | 53平米 | 西 | 其他,低楼层(共12层)  1999年建塔楼  -,
华景新城 南向两房 豪华装修 保养很好,单价29067元/平米,230,| 2室2厅 | 79.13平米 | 南 | 精装,中楼层(共9层)  2009年建塔楼  -,
远洋明苑 实用户型 精致两房,单价22322元/平米,180,| 2室1厅 | 80.64平米 | 西南 | 简装,低楼层(共18层)  2004年建塔楼  -,
南一路小区 三房一厅 格局方正 装修好,单价31211元/平米,245,| 3室1厅 | 78.5平米 | 西南 | 其他,高楼层(共8层)  1993年建塔楼  -,
精品三房 装修保养很好 南向户型,单价36288元/平米,520,| 4室2厅 | 143.3平米 | 西南 | 精装,低楼层(共18层)  2005年建塔楼  -,
棠德花园 采光通风好充足 装修保养好,单价18853元/平米,115,| 3室1厅 | 61平米 | 西 | 简装,中楼层(共9层)  1997年建塔楼  -,
华景新城六期 舒适南北向 通透明亮,单价32748元/平米,298,| 3室2厅 | 91平米 | 西南 | 简装,低楼层(共31层)  1998年建塔楼  -,
阳光假日园 安静两房 精装修 交通方便,单价27039元/平米,193,| 2室2厅 | 71.38平米 | 北 | 精装,低楼层(共11层)  2009年建塔楼  -,
历德雅舍 精装修 通风采光好 华景学位,单价36586元/平米,300,| 2室1厅 | 82平米 | 西南 | 其他,低楼层(共18层)  2005年建塔楼  -,
紧邻商业中心旺区，四房南北对流，间隔方正,单价40931元/平米,880,| 4室2厅 | 215平米 | 南 | 精装,低楼层(共30层)  2011年建塔楼  -,
旭景家园 三房两厅 装修保养好 南北对流,单价26276元/平米,240,| 3室1厅 | 91.34平米 | 南 | 其他,高楼层(共15层)  2002年建塔楼  -,
侨怡苑 入读名校 东南向稀缺房源送大平台,单价48042元/平米,368,| 2室1厅 | 76.6平米 | 东南 | 简装,低楼层(共9层)  1992年建塔楼  -,
稀缺南向大阳台 配置14方带证车位出售,单价38962元/平米,300,| 2室2厅 | 77平米 | 南 | 其他,中楼层(共10层)  1997年建塔楼  -,
中兴花园 精装修两房 户型方正,单价20520元/平米,158,| 2室2厅 | 77平米 | 南 | 精装,高楼层(共12层)  1999年建塔楼  -,
侨怡苑 温馨两房 省级学位 安静交通方便,单价45676元/平米,338,| 2室2厅 | 74平米 | 北 | 精装,低楼层(共21层)  1995年建塔楼  -,
骏景花园 实用三房 超大主卧 超大阳台,单价30324元/平米,315,| 3室2厅 | 103.88平米 | 北 | 简装,低楼层(共20层)  2000年建塔楼  -,
方圆月岛 超大三房 南北对流 高层景观,单价53229元/平米,850,| 3室2厅 | 159.69平米 | 南 | 其他,中楼层(共46层)  2009年建塔楼  -,
包名牌家私家电 南北对流豪华两房一厅,单价27801元/平米,206,| 2室1厅 | 74.1平米 | 南 | 精装,高楼层(共9层)  塔楼  -,
中海璟晖华庭 稀缺两房 高层景观好,单价67190元/平米,600,| 2室2厅 | 89.3平米 | 北 | 精装,中楼层(共32层)  2009年建塔楼  -,
富力天朗明居 双地铁上盖 安静两房看花园,单价32719元/平米,275,| 2室2厅 | 84.05平米 | 东南 | 精装,中楼层(共18层)  2001年建塔楼  -,
华港花园 南向三房 望花园 很安静,单价29737元/平米,339,| 3室2厅 | 114平米 | 南 | 简装,高楼层(共9层)  2004年建塔楼  -,
棠德花园 3房1厅 业主精装修,单价23149元/平米,125,| 3室1厅 | 54平米 | 西 | 精装,中楼层(共9层)  1997年建塔楼  -,
珠江新城实用三房 南向 环境一流,单价63637元/平米,700,| 3室2厅 | 110平米 | 南 | 精装,低楼层(共23层)  2009年建塔楼  -,
天河北帝景苑 高端住宅区 带省级学位,单价38406元/平米,530,| 4室2厅 | 138平米 | 东北 | 简装,中楼层(共32层)  2000年建塔楼  -,
中怡城市花园 地铁口 两房小户型,单价50000元/平米,350,| 2室2厅 | 70平米 | 东北 | 简装,中楼层(共30层)  2002年建塔楼  -,
中海康城，大户型，赠送大平台，独梯独户,单价27445元/平米,480,| 4室2厅 | 174.9平米 | 东南 | 简装,高楼层(共19层)  2002年建塔楼  -,
实用户型，住家首选，简单装修，保养很好,单价23627元/平米,215,| 2室2厅 | 91平米 | 南 | 其他,中楼层(共16层)  2000年建塔楼  -,
城市假日花园 户型方正装修保养好,单价33036元/平米,370,| 3室1厅 | 112平米 | 南 | 其他,高楼层(共18层)  2007年建塔楼  -,
棠德花园 可做商铺 单边位 业主诚信出售,单价26667元/平米,160,| 2室1厅 | 60平米 | 东 | 简装,低楼层(共9层)  1997年建塔楼  -,
华港花园 实用二房 安静舒适 省级学位,单价41012元/平米,365,| 2室2厅 | 89平米 | 东南 | 精装,中楼层(共9层)  2004年建塔楼  -,
汇景新城 实用四房 南北对流 保养好,单价44759元/平米,900,| 4室2厅 | 201.08平米 | 南 | 其他,高楼层(共9层)  2011年建塔楼  -,
东向两房 绝版户型 业主诚意出售 温馨两,单价30509元/平米,180,| 2室2厅 | 59平米 | 东 | 简装,低楼层(共20层)  2001年建塔楼  -,
华景三期 西南安静三房 过五唯一,单价30000元/平米,300,| 3室2厅 | 100平米 | 东 | 简装,高楼层(共9层)  2009年建塔楼  -,
美好居 南北通透 环境优美 地铁交通方便,单价22917元/平米,220,| 3室2厅 | 96平米 | 南 | 简装,高楼层(共12层)  1998年建塔楼  -,
新达城商务公寓 商住俩用 市一级学位房,单价28750元/平米,115,| 1室1厅 | 40平米 | 西 | 简装,中楼层(共30层)  2000年建塔楼  -,
