name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
天平花苑 东南朝向 户型方正,65平米,2200,天平花苑云山楼,2室1厅,
珠江俊园 精致三房 视野开阔 居家首选,107平米,5500,珠江俊园,3室0厅,
嘉华楼，地铁旁物业，居住适宜,93平米,2800,嘉华楼A区,3室2厅,
博雅御轩 大两房两厅 全齐家私电器,63平米,6300,博雅御轩,2室1厅,
天河北 侨林苑精装一房 家私电齐,38平米,3600,侨林苑三期,1室0厅,
嘉裕丹顿阳光 格局方正 采光很好,83平米,8000,嘉裕丹顿阳光,1室2厅,
翠湖山庄 两房两厅 户型方正,62平米,4300,翠湖山庄,2室2厅,
长运大院三房 格局方正 采光通风好,74平米,3500,长运大院,3室1厅,
天河区 沙和路 温馨两房,55平米,2600,沙和路,2室1厅,
荟雅苑 高层三房 北向景观好 首次房租,119平米,6800,荟雅苑,3室2厅,
员村顺景楼两房一厅 地铁上盖,70平米,2800,顺景楼,2室1厅,
骏景花园骏景花园 北苑实用三房 户型方正,103平米,5300,骏景花园北苑骏翔轩,3室2厅,
濂泉西路95号大院 黄金楼层 实用两房,70平米,3500,濂泉西路95号大院,2室1厅,
棠德花园新装修两房 家私家电齐全,59平米,2700,棠德花园G区,2室1厅,
邮通小区 温馨两房 采光一流,72平米,3600,邮通小区,2室1厅,
橡树园 电梯高层 家私家电全齐,37平米,3000,橡树园,1室1厅,
龙怡苑 近BRT 格局好 房子光线好,45平米,2200,龙怡苑,1室1厅,
东圃 龙怡苑 电梯两房 家私电器齐全,72平米,2900,龙怡苑,2室1厅,
喜洋居 正南向两房 家私电器齐全,62平米,4500,喜洋居,2室2厅,
天朗明居 家电齐全 保养好 随时看房,65平米,3700,富力天朗明居N区,2室1厅,
历德雅舍 精装修 家电齐全 温馨一房,49平米,4200,历德雅舍,1室1厅,
塞拉维 精装电梯两房 家私电齐全,76平米,4500,赛拉维,2室2厅,
东逸花园 精装三房 地铁上盖 省级学位,117平米,6300,新世界东逸花园,3室2厅,
星汇园 高层少有复式放租 可住家可办公,173平米,13000,星汇园A区,4室2厅,
三房两厅 东南靓向 安静宜居,147平米,7200,理想蓝堡国际花园,3室2厅,
珠江新城精装两房 精心设计 品牌家具家电,78平米,6200,丽晶华庭,2室1厅,
经济实惠 保养非常好 光纤一流 家私齐全,52平米,3400,远洋明苑,2室2厅,
天誉花园 方正实用 办公装修,176平米,13000,天誉花园,4室2厅,
华景二期 精装小三房 南北通透家私全齐,78平米,3200,华景新城瑞景楼,3室2厅,
富力公园28 豪华四房 南北对流商住两用,274平米,24000,富力公园28,4室2厅,
马赛国际公寓 单身贵族公寓 采光通风一流,72平米,4200,马赛国际公寓,1室1厅,
紫荆小区 电梯大三房,104平米,5600,紫荆小区紫藤阁,3室2厅,
迎翠春庭 小两房,60平米,2000,迎翠春庭,2室1厅,
南天广场 3室2厅 6500元,104平米,6500,南天广场,3室2厅,
远洋明苑 经典小三房 随时看房,78平米,4500,远洋明苑,3室2厅,
盈彩美居 两房两厅 温馨舒适,83平米,3500,盈彩美居云彩轩,2室2厅,
昌乐园 方正两房 南北对流 采光通透,56平米,3500,昌乐园,2室1厅,
保利最心语 温馨南向两房 干净整洁 急租,72平米,6800,保利心语花园,2室2厅,
保利心语花园 精致三房 拎包入住,110平米,8500,保利心语花园,3室2厅,
保利心语 大三房两厅 家私电器齐全,110平米,8000,保利心语花园,3室2厅,
嘉尚国际公寓 精装修 家私齐全修改房评,31平米,3400,嘉尚国际公寓,1室1厅,
华师大学宿舍南区3房2厅新业主放租南北向,78平米,4200,华师大学宿舍南区,3室2厅,
天誉花园 实用小两房 看房方便,75平米,6000,天誉花园,2室1厅,
中兴花园 南向中层大两房 厅出户型,74平米,3300,中兴花园,2室2厅,
天朗明居 经典一房 拎包入住 首次放租,45平米,3300,富力天朗明居N区,1室1厅,
中兴花园 精装修两房 户型方正,73平米,3300,中兴花园,2室1厅,
棠德花园 全新精装修 安静采光通风,44平米,2500,棠德花园A区,2室1厅,
合景睿峰L7 2室2厅 12000元,114平米,12000,合景睿峰L7,2室2厅,
远洋明苑 精装一房一厅,48平米,2800,远洋明苑,1室1厅,
远洋明苑 稀缺四房 南向落地大飘窗,124平米,4800,远洋明苑,4室2厅,
铂林国际公寓 珠江新城性价比最高的两房,55平米,6300,铂林国际公寓,2室2厅,
锦明街 东向两居室 安静舒适 拎包入住,78平米,3300,天明苑,2室2厅,
新世界东逸花园 南北对流 精装修三房,120平米,6800,新世界东逸花园,3室2厅,
东方都会广场 南向复式房 时尚装修,44平米,3800,东方都会广场,1室2厅,
高层南向舒适单间 家私电器齐全 新净,38平米,4200,双城国际公寓,1室0厅,
MBA国际公寓 1室0厅 4000元,64平米,4000,MBA国际公寓,1室0厅,
中怡城市花园 家私家电齐全 拎包入住,43平米,3800,中怡城市花园,1室1厅,
骏景花园 南苑高层 豪华装修 拎包入住,86平米,4500,骏景花园南苑骏霖轩,3室1厅,
富力天朗明居 温馨两室 通风采光好,78平米,3800,富力天朗明居N区,2室2厅,
时尚明苑 精致两房 家电全齐 交通方便,66平米,4000,时尚明苑,2室1厅,
天逸名都 实用两房 房出阳台 省级学位,66平米,4600,天逸名都,2室1厅,
暨大宿舍明湖苑 校内大间,38平米,2200,暨南大学宿舍明湖苑,1室0厅,
天朗明居 N区望花园 采光充足两房,65平米,3800,富力天朗明居N区,2室2厅,
铂林国际公寓 精英公寓 高品质配置家私,40平米,5500,铂林国际公寓,1室1厅,
保利中达广场 高层复式放租,67平米,10000,保利中达,1室1厅,
铂林国际 一房一厅小复式 家私齐全地铁口,38平米,4500,铂林国际公寓,1室1厅,
橡树园 复式两房 新装修,38平米,3300,橡树园,2室1厅,
星汇云锦稀缺高层两房 保养靓丽 拎包即住,97平米,9000,星汇云锦,2室1厅,
隆基怡苑 一房一厅 家私家电齐全,50平米,2800,隆基怡苑倚云轩,1室1厅,
仙湖名苑 豪华三房 家私家电齐 拎包入住,136平米,6300,仙湖名苑,3室2厅,
嘉裕礼顿阳光豪华一房紧缺房源 随时出租,39平米,4300,嘉裕礼顿阳光,1室0厅,
昌乐园 楼梯2房 交通便利,54平米,3499,昌乐园,2室1厅,
双城国际公寓，近地铁，交通方便，拎包入住,38平米,4000,双城国际公寓,1室0厅,
侨林苑三期 正宗一房厅,54平米,4800,侨林苑三期,1室1厅,
铂林国际 一房一厅 实用复式,34平米,5000,铂林国际公寓,1室1厅,
昌乐园 方正三房 南北对流 安静小区,70平米,2800,昌乐园,3室1厅,
星汇云锦稀缺高层两房 保养靓丽 拎包即住,98平米,12500,星汇云锦,2室1厅,
协和新世界 精装两房 家电齐全 交通方便,74平米,6800,协和新世界,2室2厅,
中海璟晖 高层大三房 家私家电齐全,135平米,12000,中海璟晖华庭二期,3室2厅,
翠拥华庭锋尚 大单间 精装修 白领首选,45平米,3600,翠拥华庭锋尚,1室1厅,
华景新城 泽晖苑 安静两房 温馨舒适,77平米,3499,华景新城泽晖苑,2室1厅,
骏景花园3+1房装修保养好 业主首次放租,105平米,5200,骏景花园北苑骏晖轩,3室2厅,
牡丹阁 三房两厅 可做员工宿舍,106平米,6000,广信牡丹阁,3室2厅,
华景新城 方正两房 装修保养好,72平米,3200,华景新城鸿景楼,2室1厅,
豪景花园2房 小区管理 采光通风好,105平米,6000,豪景花园,4室1厅,
广州东站 瘦狗岭大院 正规一房,40平米,2000,瘦狗岭路,1室1厅,
东璟花园 交通方便 地铁上盖,58平米,3600,东璟花园,1室1厅,
陶苑小区 实用两房 地铁口,71平米,2000,陶苑小区,2室1厅,
聚龙阁 办公装修三房 电梯房,110平米,6500,聚龙阁,3室2厅,
天河广场 正规大两房 拎包入住,73平米,3300,天河广场,2室1厅,
嘉裕礼顿阳光 豪华装修 酒店公寓 即可看,55平米,5999,嘉裕礼顿阳光,1室1厅,
金润大厦 一房一厅 采光很好 安静舒适,41平米,3000,金润大厦,1室1厅,
东方都会广场 复式单位 时尚装修,39平米,3300,东方都会广场,1室2厅,
华景新城 陶然庭园 三房望花园 拎包入住,93平米,5399,华景新城陶然庭园,3室2厅,
水利电力学院 南北三房 采光好 首次出租,76平米,4380,水利电力学院教师宿舍,3室1厅,
侨怡苑 电梯两房 交通便利 出行好,75平米,4500,侨怡苑,2室1厅,
上品菁园 保养装修好 精致一房,51平米,3200,佳润上品菁园,1室1厅,
祥德楼 一房一厅 家电齐全,60平米,1700,祥德楼,1室1厅,
侨源山庄 电梯大两房  拎包入住,86平米,3600,侨源山庄丽侨楼,2室2厅,
华景里理想地 复式小公寓2房 家电齐,47平米,5000,华景新城信华花园,2室1厅,
方正实用两房,74平米,4200,骏景花园北苑骏逸轩,2室2厅,
林和东小区 安静舒适 方正通风好,78平米,3500,林和东小区,2室1厅,
保利中辰广场 精装1房 毗邻地铁 配套完,45平米,5500,保利中辰广场,1室1厅,
