name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
海珠半岛 东南向 保养很好 安静不吵,单价32521元/平米,400,| 3室2厅 | 123平米 | 东南 | 精装,低楼层(共42层)  2006年建塔楼  -,
晓港湾地铁上盖户型方正精致装修温馨舒适,单价22795元/平米,155,| 2室2厅 | 68平米 | 西南 | 精装,中楼层(共23层)  1999年建塔楼  -,
保利百合花园 复式单位 望花园,单价27377元/平米,470,| 3室2厅 | 171.68平米 | 西南 | 其他,高楼层(共18层)  2004年建塔楼  -,
光大花园榕岸江景洋房南北对流间隔方正实用,单价52963元/平米,858,| 4室2厅 | 162平米 | 南 | 精装,中楼层(共33层)  2006年建塔楼  -,
保利红棉花园 中层两房 交通便利,单价19828元/平米,115,| 2室1厅 | 58平米 | 北 | 精装,中楼层(共9层)  1997年建塔楼  -,
保利红棉花园 实用一房 业主诚意出售,单价18019元/平米,60,| 1室1厅 | 33.3平米 | 东 | 简装,高楼层(共9层)  1997年建塔楼  -,
温馨两房保养好拎包入住过五唯一地铁上盖,单价26875元/平米,233,| 2室2厅 | 86.7平米 | 东北 | 简装,高楼层(共25层)  1999年建塔楼  -,
保利红棉花园 中层两房保养新 户型方正,单价19263元/平米,70,| 1室1厅 | 36.34平米 | 南 | 精装,中楼层(共9层)  1997年建塔楼  -,
南景园 高层 带 精装修 户型方正,单价28100元/平米,340,| 3室2厅 | 121平米 | 东北 | 精装,高楼层(共18层)  2001年建塔楼  -,
侨诚花园地铁上盖户型方正温馨舒适,单价25863元/平米,150,| 2室2厅 | 58平米 | 东南 | 简装,低楼层(共14层)  1998年建塔楼  -,
金玫瑰苑 跃式三房 高层视野开阔,单价23530元/平米,200,| 3室2厅 | 85平米 | 西 | 简装,中楼层(共19层)  1999年建塔楼  -,
顺景雅苑 温馨南向两房 新婚首选,单价30770元/平米,200,| 2室1厅 | 65平米 | 东 | 简装,低楼层(共13层)  2000年建塔楼  -,
保利花园 复式单位 园林景观,单价17878元/平米,320,| 5室2厅 | 179平米 | 东南 | 简装,高楼层(共6层)  2000年建塔楼  -,
万华花园 大四房 复式实用。带学位,单价24635元/平米,335,| 4室2厅 | 135.99平米 | 北 | 简装,高楼层(共12层)  2005年建塔楼  -,
绿茵翠庭 精装三房 双阳台 西北单位,单价22308元/平米,290,| 3室2厅 | 130平米 | 西北 | 其他,中楼层(共10层)  2002年建塔楼  -,
晓港雅筑 地铁上盖 中空复式两房厅出阳台,单价31356元/平米,185,| 2室1厅 | 59平米 | 南 | 简装,低楼层(共25层)  2006年建塔楼  -,
晓燕湾 精装修 双阳台 实用两房,单价18649元/平米,138,| 2室2厅 | 74平米 | 西 | 简装,高楼层(共10层)  1999年建塔楼  -,
和平家园 园景单位 精美三房,单价30639元/平米,288,| 3室2厅 | 94平米 | 北 | 其他,低楼层(共12层)  2007年建塔楼  -,
万华花园 成熟配套小区 生活便利 居家,单价22226元/平米,138,| 2室1厅 | 62.09平米 | 东 | 其他,中楼层(共9层)  2005年建塔楼  -,
海珠半岛花园 北向舒适望江三房,单价33645元/平米,360,| 3室2厅 | 107平米 | 北 | 精装,低楼层(共31层)  1997年建塔楼  -,
实用温馨单位 配套完善,单价30834元/平米,370,| 3室2厅 | 120平米 | 东南 | 简装,高楼层(共24层)  2005年建塔楼  -,
金碧花园第一金碧 3室2厅 215万,单价22632元/平米,215,| 3室2厅 | 95平米 | 东北 | 简装,高楼层(共22层)  2000年建塔楼  -,
润汇大厦 实用三房 保养新净 带学位,单价33761元/平米,395,| 3室1厅 | 117平米 | 东南 | 其他,高楼层(共31层)  2001年建塔楼  -,
翠城六期 保养新净 采光一流 望花园,单价37500元/平米,330,| 2室1厅 | 88平米 | 东南 | 其他,高楼层(共33层)  2009年建塔楼  -,
南洲名苑 电梯两房 东南向,单价21429元/平米,150,| 2室2厅 | 70平米 | 东南 | 简装,中楼层(共9层)  1997年建塔楼  -,
保利红棉花园 大一房改两房,单价20193元/平米,105,| 2室1厅 | 52平米 | 东南 | 简装,中楼层(共9层)  1997年建塔楼  -,
江南花园 二期 三房带主套 黄金地段,单价34351元/平米,375,| 3室2厅 | 109.17平米 | 西南 | 其他,中楼层(共30层)  2009年建塔楼  -,
富力千禧花园 望花园实用两房,单价35938元/平米,230,| 2室2厅 | 64平米 | 北 | 其他,低楼层(共18层)  2002年建塔楼  -,
芳草轩 证过五年 精装修电梯五房,单价30000元/平米,477,| 5室2厅 | 159平米 | 南 | 精装,高楼层(共11层)  2007年建塔楼  -,
瑞宝花园 豪华装修 南向望球场 业主急卖,单价18750元/平米,150,| 3室2厅 | 80平米 | 南 | 精装,高楼层(共9层)  1997年建塔楼  -,
雅郡花园 豪装三房 名牌家私户型超靓,单价37947元/平米,425,| 3室2厅 | 112平米 | 东北 | 其他,中楼层(共12层)  2003年建塔楼  -,
间隔方正 朝南 厅大房大精装修 安静舒适,单价20000元/平米,220,| 3室2厅 | 110平米 | 南 | 简装,高楼层(共9层)  1998年建塔楼  -,
保利红棉 楼梯高楼层两房 望花园,单价18919元/平米,140,| 2室2厅 | 74平米 | 西北 | 其他,高楼层(共9层)  1997年建塔楼  -,
尚领时代 温馨二房 给你一个家的感觉,单价26000元/平米,195,| 2室1厅 | 75平米 | 南 | 精装,中楼层(共18层)  2006年建塔楼  -,
豪华装修  投资笋盘 环境舒适,单价33334元/平米,160,| 1室0厅 | 48平米 | 东 | 精装,高楼层(共32层)  2009年建塔楼  -,
保利花园 高层小三房 保养新净,单价29488元/平米,230,| 3室2厅 | 78平米 | 北 | 简装,高楼层(共19层)  2000年建塔楼  -,
罗马家园 花园中心 中空复式 过五唯一,单价26374元/平米,720,| 5室3厅 | 273平米 | 南 | 精装,高楼层(共12层)  2007年建塔楼  -,
金雅苑 保养好 南北对流双阳台,单价23233元/平米,230,| 3室2厅 | 99平米 | 南 | 精装,高楼层(共9层)  1998年建塔楼  -,
金玫瑰园地铁上盖户型方正采光一流温馨舒适,单价23189元/平米,160,| 2室1厅 | 69平米 | 南 | 精装,中楼层(共19层)  1999年建塔楼  -,
逸景翠园 中区 高层视野开阔 满两年,单价28788元/平米,380,| 4室2厅 | 132平米 | 南 | 其他,中楼层(共33层)  2002年建塔楼  -,
保利红棉 楼梯低层 实用三房 间隔方正,单价20000元/平米,160,| 3室2厅 | 80平米 | 南 | 精装,中楼层(共9层)  1997年建塔楼  -,
金碧花园第三金碧 3室2厅 305万,单价30500元/平米,305,| 3室2厅 | 100平米 | 南 | 简装,高楼层(共32层)  2000年建塔楼  -,
金碧花园三期 安静舒适 学位房 地铁口物,单价32728元/平米,360,| 3室2厅 | 110平米 | 北 | 精装,低楼层(共32层)  2000年建塔楼  -,
南洲花园 正宗一房一 采光一流 望花园,单价12841元/平米,56.5,| 1室1厅 | 44平米 | 东 | 简装,高楼层(共9层)  1993年建塔楼  -,
富景花园 中层大三房 居家首选,单价26214元/平米,270,| 3室2厅 | 103平米 | 北 | 简装,中楼层(共32层)  2003年建塔楼  -,
丽园雅庭 电梯2房 户型方正 南北对流,单价41353元/平米,340,| 2室2厅 | 82.22平米 | 东 | 简装,中楼层(共16层)  2007年建塔楼  -,
金碧花园一期 方正格局 实用两房,单价23810元/平米,150,| 2室1厅 | 63平米 | 北 | 简装,中楼层(共22层)  2000年建塔楼  -,
昌岗中 地铁口 方正一房一厅 楼层好,单价20367元/平米,80,| 2室1厅 | 39.28平米 | 南 | 其他,中楼层(共7层)  1990年建塔楼  -,
南州花苑 证过五年 唯一物业 刚需首选,单价18182元/平米,60,| 1室0厅 | 33平米 | 北 | 简装,中楼层(共9层)  1993年建塔楼  -,
恒鑫御雅庭 精致三房 西南向 采光好,单价29043元/平米,273,| 3室2厅 | 94平米 | 西南 | 精装,高楼层(共11层)  2005年建塔楼  -,
恒龙苑 实用两房 保养新净 投资自住皆宜,单价18182元/平米,100,| 2室1厅 | 55平米 | 暂无数据 | 简装,高楼层(共9层)  1998年建塔楼  -,
金碧花园三期 精装两房 安静望花园,单价28572元/平米,230,| 2室2厅 | 80.5平米 | 北 | 精装,高楼层(共26层)  2000年建塔楼  -,
星城格调 地铁上盖 实用三房 采光一流,单价32955元/平米,290,| 3室1厅 | 88平米 | 东南 | 精装,中楼层(共11层)  1999年建塔楼  -,
金海湾 高层南北对流 视野开阔 豪华装修,单价45039元/平米,1180,| 4室2厅 | 262平米 | 南 | 精装,高楼层(共38层)  2002年建塔楼  -,
海印南苑 东南向 三房,单价27701元/平米,300,| 3室2厅 | 108.3平米 | 东南 | 精装,低楼层(共28层)  2000年建塔楼  -,
蓝色康园三房 南北对流 学位配套 售,单价38096元/平米,320,| 3室2厅 | 84平米 | 南 | 简装,高楼层(共19层)  2004年建塔楼  -,
公安宿舍 实用两房 罕有放盘 免税物业,单价22795元/平米,155,| 2室2厅 | 68平米 | 西 | 其他,高楼层(共13层)  2000年建塔楼  -,
晓港湾 高档电梯两房 证过两年 地铁上盖,单价25715元/平米,180,| 2室1厅 | 70平米 | 西南 | 简装,中楼层(共31层)  1999年建塔楼  -,
保利红棉花园 中层正规两房 交通便利,单价20000元/平米,102,| 2室1厅 | 51平米 | 东南 | 简装,高楼层(共9层)  1997年建塔楼  -,
