name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
锦绣生态园春满园 大三房 送私人露台,单价12322元/平米,138,| 3室2厅 | 112平米 | 东北 | 精装,高楼层(共6层)  2001年建塔楼  -,
丽江花园 温馨两房 近地铁 过五唯一,单价17184元/平米,122,| 2室2厅 | 71平米 | 西南 | 简装,低楼层(共9层)  1999年建塔楼  -,
祈福新村天湖居 精美大四房 一手业主免税,单价17124元/平米,250,| 4室2厅 | 146平米 | 北 | 简装,高楼层(共19层)  1995年建塔楼  -,
华景新城 稀缺南向复试 四代人够住了,单价16000元/平米,360,| 5室2厅 | 225平米 | 南 | 精装,高楼层(共12层)  塔楼  -,
广州雅居乐花园 雅湖居 保养新净修,单价32370元/平米,560,| 3室2厅 | 173平米 | 东南 | 精装,低楼层(共1层)  2010年建  -,
星河湾 高层对流三房 间隔方正 保养好,单价29269元/平米,360,| 3室2厅 | 123平米 | 南 | 简装,高楼层(共9层)  2001年建塔楼  -,
蓝天苑大复式 284方带车位 东南向,单价19015元/平米,540,| 6室2厅 | 284平米 | 东南 | 精装,高楼层(共7层)  2001年建塔楼  -,
祈福新村别墅 一手业主保养新 少税费,单价13542元/平米,260,| 4室2厅 | 192平米 | 北 | 其他,低楼层(共1层)  1995年建  -,
广州奥林匹克花园 南向花园四房送露台,单价18952元/平米,235,| 4室2厅 | 124平米 | 南 | 精装,高楼层(共6层)  2002年建塔楼  -,
地铁上盖 学区房 环境优美 过五唯一,单价19445元/平米,350,| 5室2厅 | 180平米 | 南 | 精装,高楼层(共5层)  2006年建塔楼  -,
精装实用4房 环境安静优雅 小区管理,单价20619元/平米,200,| 4室2厅 | 97平米 | 西 | 精装,中楼层(共6层)  1999年建塔楼  -,
星河湾星座 对流一线园景物业 中高靓装修,单价25196元/平米,580,| 4室2厅 | 230.2平米 | 南 | 精装,高楼层(共14层)  2001年建塔楼  -,
倚翠苑 毛丕房,单价13715元/平米,240,| 5室3厅 | 175平米 | 西北 | 其他,高楼层(共11层)  2001年建塔楼  -,
居家三房 拎包入住,单价13493元/平米,85,| 3室1厅 | 63平米 | 南 | 简装,高楼层(共7层)  1993年建塔楼  -,
丽江花园 九如通津 装修新,单价20589元/平米,210,| 3室2厅 | 102平米 | 东北 | 精装,中楼层(共11层)  2008年建塔楼  -,
丽江花园丽字楼 精装大三房 光线充足,单价14773元/平米,130,| 3室1厅 | 88平米 | 西北 | 精装,高楼层(共9层)  2008年建塔楼  -,
丽江花园 左岸少有四房 装修好,单价19231元/平米,500,| 4室2厅 | 260平米 | 东南 | 简装,高楼层(共18层)  2008年建塔楼  -,
丽江花园丽字楼 豪华四房 过五年 保养新,单价13462元/平米,140,| 4室2厅 | 104平米 | 东北 | 简装,低楼层(共9层)  2008年建塔楼  -,
华南碧桂园 漾翠苑 复式 露台 真房源,单价14966元/平米,220,| 3室2厅 | 147平米 | 西北 | 其他,高楼层(共7层)  2001年建塔楼  -,
