name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
万科金域蓝湾 近地铁 中高楼层,单价25000元/平米,260,| 3室2厅 | 104平米 | 西南 | 其他,中楼层(共25层)  2008年建塔楼  -,
天河御品：电梯高层 看花园 安静舒适,单价30000元/平米,382.5,| 3室2厅 | 127.5平米 | 西北 | 精装,高楼层(共25层)  2010年建塔楼  -,
时代花园 望花园精装三房,单价23470元/平米,230,| 3室2厅 | 98平米 | 南 | 精装,低楼层(共15层)  1999年建塔楼  -,
成丰大厦 经典户型 隆重推出 价格给力,单价13286元/平米,93,| 2室2厅 | 70平米 | 北 | 简装,中楼层(共13层)  1999年建塔楼  -,
上步花园 正南方向 光线一流 间隔方正,单价13590元/平米,53,| 1室1厅 | 39平米 | 南 | 其他,中楼层(共9层)  1998年建塔楼  -,
格局方正 通风采光好 4房,单价23215元/平米,260,| 4室2厅 | 112平米 | 北 | 精装,低楼层(共15层)  1999年建塔楼  -,
新兴白云花园 南向两居 紧邻地铁 随时看,单价15532元/平米,73,| 2室1厅 | 47平米 | 南 | 其他,高楼层(共9层)  1999年建塔楼  -,
景泰新村 中层单位,单价17509元/平米,130,| 3室2厅 | 74.25平米 | 北 | 简装,中楼层(共9层)  2008年建塔楼  -,
泽德花园 采光一流 方正实用,单价14709元/平米,75,| 2室1厅 | 50.99平米 | 西 | 其他,中楼层(共9层)  1998年建塔楼  -,
元邦航空家园 间隔方正 南北对流,单价18236元/平米,155,| 2室2厅 | 85平米 | 北 | 简装,低楼层(共15层)  2004年建塔楼  -,
电梯2房新装修三面采光,单价14577元/平米,86,| 2室1厅 | 59平米 | 东北 | 简装,低楼层(共16层)  1995年建塔楼  -,
恒大御景半岛 豪华装修 采光好,单价15643元/平米,280,| 3室2厅 | 179平米 | 暂无数据 | 其他,低楼层(共31层)  2007年建塔楼  -,
雍翠园 两房两厅 格局方正 保养好,单价17284元/平米,140,| 2室2厅 | 81平米 | 西北 | 简装,低楼层(共15层)  2000年建塔楼  -,
雍翠园 电梯高层 大两房 采光充足,单价15904元/平米,132,| 2室2厅 | 83平米 | 东 | 简装,中楼层(共14层)  2000年建塔楼  -,
梓元东 两居室 装修保养好 可直接入住,单价12500元/平米,75,| 2室1厅 | 60平米 | 东 | 简装,高楼层(共9层)  塔楼  -,
深业江悦湾 3室2厅 190万,单价20880元/平米,190,| 3室2厅 | 91平米 | 西南 | 其他,中楼层(共26层)  塔楼  -,
富力桃园C区花园式精装三房出售,单价23742元/平米,330,| 3室1厅 | 139平米 | 东南 | 其他,中楼层(共30层)  2004年建塔楼  -,
机场路 民航东门小区 2房实用,单价23087元/平米,168,| 2室2厅 | 72.77平米 | 北 | 其他,高楼层(共9层)  1995年建塔楼  -,
景泰新村 实用小户型 带省级学位,单价12709元/平米,61,| 2室1厅 | 48平米 | 北 | 简装,高楼层(共8层)  2008年建塔楼  -,
黄石路 白云高尔夫花园,单价23898元/平米,325,| 3室2厅 | 136平米 | 南 | 简装,中楼层(共9层)  2002年建塔楼  -,
云天翠庭 南向中层两房 精致装修,单价26667元/平米,200,| 2室2厅 | 75平米 | 南 | 其他,中楼层(共11层)  2004年建塔楼  -,
景泰中层实用两房 格局方正 采光通体,单价16429元/平米,115,| 2室1厅 | 70平米 | 南 | 简装,中楼层(共8层)  2008年建塔楼  -,
装修保养好.户型方正,单价18557元/平米,180,| 3室2厅 | 97平米 | 北 | 其他,低楼层(共9层)  1999年建塔楼  -,
景泰新村 低层两房 带名校学位,单价13871元/平米,86,| 2室1厅 | 62平米 | 南 | 简装,低楼层(共7层)  2008年建塔楼  -,
云苑新村 低层两房 产权清晰,单价17359元/平米,92,| 2室1厅 | 53平米 | 西 | 其他,中楼层(共9层)  1999年建塔楼  -,
南向望花园电梯大两房,单价13219元/平米,115,| 2室1厅 | 87平米 | 南 | 其他,低楼层(共6层)  1990年建塔楼  -,
万科云山花园 豪装复式楼 环境优雅,单价52379元/平米,480,| 7室2厅 | 91.64平米 | 东 | 精装,低楼层(共29层)  2009年建塔楼  -,
三房两厅 南北对流 大主卧 采光好,单价21277元/平米,200,| 3室2厅 | 94平米 | 西南 | 其他,高楼层(共26层)  塔楼  -,
金域蓝湾 楼层适中 温馨舒适 居家首选,单价23810元/平米,200,| 2室2厅 | 84平米 | 西南 | 精装,中楼层(共25层)  2008年建塔楼  -,
祥景花园 黄金楼层 南向采光通风好,单价16035元/平米,93,| 2室1厅 | 58平米 | 南 | 精装,中楼层(共9层)  1999年建塔楼  -,
金钟横路盈翠华庭两房出售,单价20000元/平米,164,| 2室2厅 | 82平米 | 北 | 精装,高楼层(共7层)  2001年建塔楼  -,
云东花园 中层两房 适用两房,单价14706元/平米,85,| 2室1厅 | 57.8平米 | 南 | 简装,中楼层(共9层)  1998年建塔楼  -,
金名都 交通方便空气对流不限购满足您欲望,单价19000元/平米,172.9,| 3室2厅 | 91平米 | 东北 | 其他,高楼层(共45层)  2008年建塔楼  -,
富力阳光美居 高层三房 安静舒适,单价19470元/平米,220,| 3室2厅 | 113平米 | 东南 | 简装,中楼层(共16层)  2001年建塔楼  -,
腾龙阁 电梯中层 户型方正正规三房,单价17935元/平米,165,| 3室1厅 | 92平米 | 东南 | 简装,中楼层(共12层)  1999年建塔楼  -,
低层单位 采光通风 业主保养好,单价13637元/平米,90,| 2室1厅 | 66平米 | 东 | 其他,低楼层(共9层)  1994年建塔楼  -,
中海金沙湾 高层温馨两房  采光好,单价21512元/平米,185,| 2室2厅 | 86平米 | 西北 | 其他,高楼层(共33层)  2009年建塔楼  -,
远景路工商局宿舍 温馨大两房 交通便利,单价15433元/平米,125,| 2室2厅 | 81平米 | 东北 | 其他,高楼层(共9层)  塔楼  -,
贝丽花园 两房一厅 间隔方正 望花园,单价20667元/平米,155,| 2室2厅 | 75平米 | 北 | 简装,低楼层(共15层)  2000年建塔楼  -,
金域蓝湾 中高楼层 拎包入住,单价28579元/平米,240,| 3室2厅 | 83.98平米 | 西北 | 其他,中楼层(共25层)  2008年建塔楼  -,
金域蓝湾 温馨三房 地铁上盖,单价28422元/平米,270,| 3室2厅 | 95平米 | 东南 | 简装,高楼层(共19层)  2008年建塔楼  -,
潭村医药宿舍 电梯中层 间隔方正,单价10489元/平米,58,| 2室1厅 | 55.3平米 | 北 | 其他,高楼层(共9层)  1995年建塔楼  -,
广州富力城 满五唯一 西南靓向 黄金楼层,单价14321元/平米,118,| 2室1厅 | 82.4平米 | 西南 | 其他,中楼层(共17层)  2007年建塔楼  -,
康盈雅园 带省级学位 间隔方正,单价17648元/平米,120,| 2室1厅 | 68平米 | 东 | 其他,高楼层(共9层)  2000年建塔楼  -,
云苑新村 中层两房 格局方正 大院管理,单价15574元/平米,95,| 2室1厅 | 61平米 | 南 | 简装,中楼层(共9层)  1999年建塔楼  -,
上步花园 南向2房 厅大房大 装修不错,单价12208元/平米,72,| 2室1厅 | 58.98平米 | 南 | 其他,高楼层(共9层)  1998年建塔楼  -,
竹园小区 配套成熟 交通方便 采光通风,单价14789元/平米,105,| 3室1厅 | 71平米 | 南 | 简装,中楼层(共9层)  1995年建塔楼  -,
同德花园 中层大三房 房子保养好,单价14321元/平米,118,| 3室1厅 | 82.4平米 | 东 | 简装,高楼层(共9层)  1998年建塔楼  -,
时代花园 欧美田园风 豪华全明屋两房,单价29788元/平米,210,| 2室1厅 | 70.5平米 | 北 | 精装,低楼层(共15层)  1999年建塔楼  -,
景泰新村 省一级学位 配套成熟,单价16098元/平米,132,| 3室2厅 | 82平米 | 北 | 简装,高楼层(共8层)  2008年建塔楼  -,
祥华阁电梯楼 实用两房 证过五年 采光好,单价19033元/平米,118,| 2室1厅 | 62平米 | 北 | 其他,中楼层(共9层)  2009年建塔楼  -,
白云明珠广场 稀有两梯六户 东向望白云山,单价19179元/平米,140,| 2室2厅 | 73平米 | 东 | 简装,中楼层(共14层)  1996年建塔楼  -,
元邦航空家园  东南向三房  单边位采光,单价16000元/平米,184,| 3室2厅 | 115平米 | 东南 | 精装,低楼层(共15层)  2004年建塔楼  -,
万科金域蓝湾 业主保养好 地铁单位,单价27263元/平米,260,| 3室2厅 | 95.37平米 | 东北 | 其他,中楼层(共19层)  2008年建塔楼  -,
景泰新村 采光充足 格局方正 产权清晰,单价18293元/平米,150,| 3室2厅 | 82平米 | 西南 | 简装,中楼层(共8层)  2008年建塔楼  -,
白云高尔夫 黄金楼层 花园中心 低总价,单价21250元/平米,170,| 3室1厅 | 80平米 | 南 | 简装,中楼层(共6层)  1999年建塔楼  -,
机场路 海棠居 精致实用 两房一厅,单价12329元/平米,90,| 2室1厅 | 73平米 | 暂无数据 | 毛坯,低楼层(共9层)  塔楼  -,
景泰新村 中楼层两房 南北对流,单价15943元/平米,110,| 2室1厅 | 69平米 | 南 | 其他,中楼层(共8层)  2008年建塔楼  -,
松云雅苑 东向四房 望花园 安静舒适,单价28847元/平米,450,| 4室2厅 | 156平米 | 东 | 精装,中楼层(共5层)  2000年建塔楼  -,
元邦航空家园  花园中心两房 东南朝向,单价19000元/平米,152,| 2室2厅 | 80平米 | 东南 | 精装,高楼层(共15层)  2004年建塔楼  -,
云逸苑 电梯两房 近地铁 采光好,单价18824元/平米,160,| 2室2厅 | 85平米 | 南 | 其他,中楼层(共12层)  2000年建塔楼  -,
体育花园 底层五房 环境优美 近地铁修改,单价34147元/平米,560,| 5室2厅 | 164平米 | 南 | 简装,中楼层(共4层)  2001年建塔楼  -,
