name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
金宇花园 南北对流 格局方正 低楼层,单价15493元/平米,110,| 2室1厅 | 71平米 | 南 | 简装,低楼层(共9层)  1996年建塔楼  -,
西华路 中层一房 价钱实惠,单价21875元/平米,70,| 1室1厅 | 32平米 | 南 | 简装,中楼层(共9层)  2003年建塔楼  -,
芳园居 大型小区 黄金楼层,单价14881元/平米,125,| 2室1厅 | 84平米 | 南 | 简装,低楼层(共9层)  1998年建塔楼  -,
逸彩庭园 地铁5号线 南向双阳台 够5年,单价25962元/平米,270,| 3室2厅 | 104平米 | 东南 | 精装,中楼层(共20层)  2007年建塔楼  -,
桥东小区 超值两房 刚需首选 买到即赚,单价11941元/平米,80,| 2室1厅 | 67平米 | 南 | 简装,高楼层(共9层)  1995年建塔楼  -,
桥东小区 地铁5号线 中层精致三房,单价12366元/平米,115,| 3室1厅 | 93平米 | 东北 | 简装,中楼层(共8层)  1995年建塔楼  -,
金宇花园大型成熟小区，交通便利生活设施齐,单价12081元/平米,85,| 3室1厅 | 70.36平米 | 南 | 简装,高楼层(共9层)  1998年建塔楼  -,
金道花园 两房一厅 精装 过五唯一,单价13830元/平米,65,| 2室1厅 | 47平米 | 西北 | 简装,高楼层(共9层)  2000年建塔楼  -,
金道花园 中层楼梯房 户型方正 环境舒适,单价17273元/平米,95,| 2室2厅 | 55平米 | 南 | 精装,中楼层(共9层)  2000年建塔楼  -,
芳村大道东 电梯三房 证过五年唯一,单价16667元/平米,170,| 3室2厅 | 102平米 | 东北 | 简装,高楼层(共12层)  塔楼  -,
周门小区 低层三房单位 间隔方正,单价22728元/平米,175,| 3室1厅 | 77平米 | 南 | 其他,低楼层(共9层)  1998年建塔楼  -,
桃源小区 一梯两户 三面采光,单价17470元/平米,145,| 3室2厅 | 83平米 | 东南 | 精装,高楼层(共9层)  1991年建塔楼  -,
中山七路 正规两房 小区管理,单价16667元/平米,110,| 2室1厅 | 66平米 | 南 | 简装,中楼层(共9层)  1999年建塔楼  -,
广船鹤园小区 小面积新装修 总价低可即看,单价15455元/平米,85,| 2室1厅 | 55平米 | 南 | 简装,高楼层(共8层)  1999年建塔楼  -,
周门中兴苑 中高层两房 保养新净,单价17188元/平米,110,| 2室1厅 | 64平米 | 东南 | 简装,高楼层(共9层)  1998年建塔楼  -,
金道花园 广钢新城旁 地铁沿线,单价20254元/平米,160,| 2室1厅 | 79平米 | 南 | 精装,中楼层(共22层)  2000年建塔楼  -,
金宇花园 11栋,单价16177元/平米,110,| 2室1厅 | 68平米 | 南 | 简装,中楼层(共10层)  1996年建塔楼  -,
五芳苑 间隔方正 证够五年，唯一,单价14286元/平米,70,| 1室1厅 | 49平米 | 暂无数据 | 简装,高楼层(共9层)  2000年建塔楼  -,
芳村花园 电梯两房 精致装修 少有户型,单价19880元/平米,165,| 2室1厅 | 83平米 | 西 | 精装,低楼层(共28层)  1999年建塔楼  -,
合兴苑 实用两室 成熟配套 温馨家园,单价14627元/平米,98,| 2室2厅 | 67平米 | 北 | 简装,高楼层(共8层)  1997年建塔楼  -,
交通便利，周边设施完善。,单价13121元/平米,83.5,| 2室1厅 | 63.64平米 | 南 | 简装,中楼层(共8层)  1996年建塔楼  -,
盛大蓝庭 地铁上盖 复式住宅,单价18565元/平米,375,| 6室2厅 | 202平米 | 南 | 简装,高楼层(共18层)  2003年建塔楼  -,
怡芳苑 精致1房 交通方便,单价19737元/平米,75,| 1室1厅 | 38平米 | 南 | 其他,高楼层(共9层)  1998年建塔楼  -,
实用两房 间隔方正,单价22086元/平米,180,| 2室1厅 | 81.5平米 | 北 | 精装,低楼层(共25层)  1996年建塔楼  -,
教师新村 封闭管理 环境清幽 格式实用,单价12706元/平米,108,| 3室2厅 | 85平米 | 南 | 简装,高楼层(共9层)  1998年建塔楼  -,
金宇花园  稀有放售 舒适2室,单价11945元/平米,86,| 2室1厅 | 72平米 | 南 | 简装,高楼层(共9层)  1998年建塔楼  -,
合兴苑 中层两房 省级学位 证够两年,单价16667元/平米,100,| 2室1厅 | 60平米 | 东北 | 简装,中楼层(共8层)  1997年建塔楼  -,
金兰苑 高层观景好房 价钱实惠 总价底,单价12395元/平米,88,| 2室1厅 | 71平米 | 南 | 其他,高楼层(共9层)  2001年建塔楼  -,
芳村大道东 楼梯2房 实用率高,单价14815元/平米,120,| 2室2厅 | 81平米 | 南 | 简装,低楼层(共9层)  塔楼  -,
鸿图苑 高层两房 保养好总价低,单价13208元/平米,70,| 2室1厅 | 53平米 | 西南 | 简装,高楼层(共9层)  1995年建塔楼  -,
