name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
卫生厅大院 大院管理 黄金楼层可改小三房,单价28338元/平米,190,| 2室2厅 | 67.05平米 | 东 | 精装,中楼层(共8层)  1985年建塔楼  -,
五羊小区 稀有南向两房 证过五年且唯一,单价30902元/平米,180,| 2室1厅 | 58.25平米 | 南 | 其他,低楼层(共9层)  1986年建塔楼  -,
建设大马路 电梯中层单位 超高实用面积,单价42888元/平米,445,| 4室2厅 | 103.76平米 | 南 | 精装,低楼层(共9层)  1978年建塔楼  -,
小北路 中层两房 间隔方正 看房方便,单价30000元/平米,180,| 2室1厅 | 60平米 | 北 | 简装,中楼层(共9层)  1983年建塔楼  -,
天伦花园 三房带主套 居家首选,单价45455元/平米,550,| 3室2厅 | 121平米 | 西北 | 简装,高楼层(共23层)  2005年建塔楼  -,
西华路凉亭街 户型方正 通风好 带省学位,单价17242元/平米,100,| 2室1厅 | 58平米 | 南 | 简装,高楼层(共9层)  塔楼  -,
福今大院管理，南北通透，送60几个方花园,单价30488元/平米,250,| 3室2厅 | 82平米 | 南 | 其他,高楼层(共9层)  塔楼  -,
东山水恋 东南靓向双阳台 送大花园平台,单价50468元/平米,540,| 3室2厅 | 107平米 | 东南 | 精装,低楼层(共31层)  2007年建塔楼  -,
拥翠小区 一房一厅 环境清静,单价26830元/平米,110,| 1室1厅 | 41平米 | 南 | 简装,中楼层(共7层)  2000年建塔楼  -,
飞鹅路小区 温馨两房 优雅宜居,单价14500元/平米,81.2,| 2室1厅 | 56平米 | 南 | 其他,中楼层(共7层)  1995年建塔楼  -,
龙湖大厦 光猛两房 厅出阳台 正望东湖,单价41177元/平米,350,| 2室2厅 | 85平米 | 东 | 简装,低楼层(共32层)  2001年建塔楼  -,
建设二马路楼梯中层笋盘出售,单价29762元/平米,250,| 3室2厅 | 84平米 | 东 | 其他,中楼层(共9层)  塔楼  -,
建设二马路小两房 框架结构,单价25066元/平米,96,| 2室1厅 | 38.3平米 | 东南 | 其他,中楼层(共9层)  塔楼  -,
麓景路 住家装修 三房出售 交通便利,单价21924元/平米,228,| 3室2厅 | 104平米 | 南 | 其他,中楼层(共9层)  塔楼  -,
东山一品 方正三房光线一流 楼新安静,单价50000元/平米,550,| 3室2厅 | 110平米 | 南 | 简装,高楼层(共30层)  2004年建塔楼  -,
广兴华花园 独栋别墅 带大花园,单价42146元/平米,1100,| 5室2厅 | 261平米 | 南 | 毛坯,低楼层(共1层)  2000年建  -,
东华东路 中层两房 培正学位,单价40000元/平米,240,| 2室1厅 | 60平米 | 北 | 其他,中楼层(共9层)  塔楼  -,
实用舒适单位 配套完善,单价31045元/平米,208,| 3室2厅 | 67平米 | 东 | 其他,中楼层(共8层)  塔楼  -,
下塘西路 中层单位 证满5年 电梯房,单价25000元/平米,120,| 1室1厅 | 48平米 | 南 | 其他,中楼层(共9层)  2005年建塔楼  -,
东兴南路  黄金楼层 三房改四房 带阳台,单价28090元/平米,250,| 3室1厅 | 89平米 | 东南 | 简装,中楼层(共9层)  1995年建塔楼  -,
