name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
丰景大厦 南北对流 交通便利 安静舒适,97平米,5800,丰景大厦,3室1厅,
东风广场 精装两房带阳台 低层舒适,70平米,6000,东风广场,2室2厅,
中山六路 地铁上盖 标准一房,43平米,4000,越秀上品轩,1室1厅,
德意居 两房带大平台 有匙即看,85平米,6000,德意居,2室2厅,
横鑫御园 精装3房出租,167平米,10000,恒鑫御园,3室2厅,
嘉和苑 新静小三房 家私家电齐全 望花园,75平米,5499,嘉和苑,3室2厅,
富力东山新天地 全新装修 部分家私电配齐,36平米,3499,富力东山新天地,1室1厅,
东川大厦 电梯两房 家电齐全 拎包入住,72平米,4999,东川大厦,2室1厅,
越秀北路 实用三房 拎包入住,91平米,5000,越秀北路,3室1厅,
应元路 富玮阁电梯四房出租 家私家电齐全,118平米,6500,富宏花园,4室1厅,
粤康阁 地铁上盖 实用三房 可租办公住家,99平米,5000,粤康阁,3室2厅,
福莱花园 小区管理 家私电器齐全,68平米,4200,福莱花园,2室1厅,
梓元东 温馨两居室 家电齐全 南北对流,82平米,2500,梓元岗路梓元东三街,2室1厅,
广工大院 地铁站旁二房一厅 中楼层南向,55平米,3800,广工大院,2室1厅,
小北路 朱紫寮 交通便利 配套完善,112平米,3500,小北路朱紫寮,3室2厅,
校场东路 临近地铁,78平米,4800,较场东路,3室1厅,
农林上路 家私电器全 地铁沿线,64平米,4500,农林上路七横路,3室1厅,
福今北路复式两层小面积豪华装修拎包入住,95平米,4600,福今北,3室2厅,
嘉和苑 大三房 带主套 家电齐全,126平米,6500,嘉和苑,3室2厅,
东风广场 小3房 格局方正,70平米,6000,东风广场,3室1厅,
好世界公寓 酒店式的服务 住家的舒适,36平米,3800,好世界公寓,1室0厅,
黄华路 电梯楼 3房2厅 交通便利,117平米,4800,国投宿舍,3室2厅,
格局方正 交通便利 采光通风,55平米,1999,麓景路,2室1厅,
一津街 两房一厅 通风采光好 笋租,60平米,2500,西华路第一津街,2室1厅,
低层 新装修 配齐家私家电,45平米,3800,越秀北路,2室1厅,
农林上路二横路 安静舒适小两房,50平米,3800,农林上路二横路,2室1厅,
寺右东小区 安静小区 大两房 交通方便,82平米,4000,寺右东小区寺右五巷,2室2厅,
富力东山新天地 近珠江新城 新房出租,62平米,4500,富力东山新天地,2室1厅,
富力东山新天地 标准三房 小区管理,81平米,5600,富力东山新天地,3室1厅,
环市中路 两房一厅 舒服,65平米,2500,花果山社区,2室1厅,
富力新天地 全新装修楼盘 生活便利,92平米,7000,富力东山新天地,3室2厅,
富力东山新天地新房一房笋价出租,36平米,3800,富力东山新天地,1室1厅,
广怡大厦 3室2厅 8500元,138平米,8500,广怡大厦,3室2厅,
富力东山新天地 3房全新一手楼盘,97平米,7500,富力东山新天地,3室2厅,
富力东山新天地 全新装修楼盘 两房一厅,67平米,5500,富力东山新天地,2室1厅,
漂亮三房，实用率高,110平米,7000,富力东山新天地,3室1厅,
简装 两房一厅 格局方正 采光通透,62平米,2200,梓元岗路梓元南街,2室1厅,
富力东山新天地 全新楼盘首次放租,118平米,10000,富力东山新天地,4室2厅,
实用标准两房 全新未入住 小区管理,49平米,4500,富力东山新天地,2室1厅,
富力东山新天地 全新未住 温馨二房,49平米,4600,富力东山新天地,2室1厅,
实用温馨单位 配套完善,65平米,4999,富力东山新天地,2室1厅,
全新一手，交通便利，大三房一厅,104平米,9000,富力东山新天地,3室1厅,
辉煌大厦 电梯中层 商住两用 有匙即睇,80平米,4200,辉煌大厦,1室1厅,
大三房 精装修,110平米,7000,富力东山新天地,3室2厅,
司马街一房一厅 精致 经济,30平米,1700,西华路司马街,1室1厅,
小东园 小区管理 环境优美,80平米,4200,小东园,3室1厅,
东海嘉园 安静舒适 环境优美 拎包入住,72平米,4800,东海嘉园,2室2厅,
富力东山新天地 珠江新城白领必 新房出租,83平米,5300,富力东山新天地,2室1厅,
水均大街 实用一房一厅一阳台,37平米,2500,东风东路水均大街,1室1厅,
大南路一房一厅 可宿舍,38平米,1800,大南路,1室1厅,
福今北路 超大三房 住家装修 拎包入住,120平米,3600,福今北司法局宿舍,3室2厅,
家电齐全 全新一手 地铁上盖,49平米,4800,富力东山新天地,2室1厅,
德政中路 地铁沿线 实用两房,63平米,3500,德政中路担杆巷,2室1厅,
东海嘉园 花园社区 新装修 家私齐全,83平米,5200,东海嘉园,2室1厅,
农林下路 厅出阳台 两房南向,62平米,3500,农林下路,2室1厅,
恒华阁 家具家电齐全 宁包入住,80平米,4800,恒华阁,2室2厅,
中山一路 小东园 中高层 新装修,56平米,3800,小东园,2室1厅,
富力东山新天地 三房全新一手楼盘,90平米,5300,富力东山新天地,2室1厅,
环市中路 三房一厅 黄金楼层 配套完善,95平米,4200,环市中路,3室1厅,
温馨两房 环境优雅,60平米,2600,解放北路,2室1厅,
富力东山新天地 地铁上盖 带阳台,97平米,8000,富力东山新天地,3室2厅,
富力东山新天地 全新楼盘首次放租,150平米,12000,富力东山新天地,4室2厅,
富力东山新天地 新房首租,65平米,5000,富力东山新天地,2室1厅,
地铁上盖 全新一手 业主诚心放租,92平米,8000,富力东山新天地,3室2厅,
东风东路 家电齐全 精致装修 南向,80平米,6500,东风东路,3室1厅,
东风东路 锦城花园 家电齐全 地铁沿线,110平米,7000,锦城花园,3室1厅,
共和路 小区管理 安静舒适,63平米,3800,共和苑共和路,2室1厅,
富力东山新天地 两房 全新未住 大型小区,63平米,4500,富力东山新天地,2室2厅,
富力东山新天地 全新精装修 住家合租均可,92平米,6500,富力东山新天地,3室2厅,
粤康阁 地铁上盖 实用三房 可租办公住家,99平米,6000,粤康阁,3室2厅,
濠畔商厦 1室1厅 3500元,73平米,3500,濠畔商厦,1室1厅,
三房两厅 小区管理,110平米,4800,淘金路,3室2厅,
