name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
新安苑 实用两房 地铁口物业 下沙学位,单价13514元/平米,100,| 3室1厅 | 74平米 | 北 | 简装,高楼层(共9层)  1998年建塔楼  -,
荔香花园 南北对流 正规2房,单价17500元/平米,133,| 2室2厅 | 76平米 | 南 | 精装,低楼层(共9层)  塔楼  -,
天虹花园 地铁口两房 成熟社区 交通便利,单价15186元/平米,82,| 2室1厅 | 54平米 | 暂无数据 | 简装,中楼层(共9层)  塔楼  -,
黄埔花园 未来13号地铁线 带省级学位,单价24051元/平米,190,| 2室2厅 | 79平米 | 南 | 精装,中楼层(共13层)  2011年建塔楼  -,
港湾一村 两房一厅 带省一级学位,单价15556元/平米,98,| 2室1厅 | 63平米 | 东南 | 其他,高楼层(共7层)  1995年建塔楼  -,
万科城市花园 精装三房 可改四房,单价23957元/平米,218,| 3室2厅 | 91平米 | 南 | 精装,中楼层(共18层)  2003年建塔楼  -,
怡港花园 园中园复式房 向花园安静,单价23179元/平米,350,| 4室2厅 | 151平米 | 北 | 精装,高楼层(共11层)  1999年建塔楼  -,
东苑小区，旺中带静，环境优雅，学区房,单价21071元/平米,248,| 4室2厅 | 117.7平米 | 西南 | 简装,低楼层(共17层)  2000年建塔楼  -,
电梯两房 楼龄新 入读省级学位,单价25532元/平米,240,| 3室2厅 | 94平米 | 北 | 精装,低楼层(共18层)  2006年建塔楼  -,
金港花园 稀有出售 装修靓,单价24902元/平米,127,| 1室1厅 | 51平米 | 北 | 精装,高楼层(共18层)  2005年建塔楼  -,
稀缺房源 黄金楼层 经典户型 望泳池,单价21875元/平米,245,| 3室2厅 | 112平米 | 南 | 精装,高楼层(共18层)  2003年建塔楼  -,
荔园小区 中层省级学位房,单价15477元/平米,130,| 2室1厅 | 84平米 | 南 | 简装,中楼层(共9层)  1995年建塔楼  -,
鹤林苑 地铁口高层精装两房 格局方正实用,单价13637元/平米,75,| 2室1厅 | 55平米 | 西 | 简装,高楼层(共9层)  2000年建塔楼  -,
怡港花园，东南向低层三房，大型社区,单价18868元/平米,200,| 3室2厅 | 106平米 | 东南 | 其他,中楼层(共9层)  1999年建塔楼  -,
银丰花园 南向一房 温馨装修,单价14804元/平米,80,| 1室1厅 | 54.04平米 | 南 | 简装,高楼层(共9层)  1999年建塔楼  -,
骏鸿花园 怡园东小学交通便利 配套完善,单价12596元/平米,165,| 3室2厅 | 131平米 | 南 | 精装,高楼层(共6层)  塔楼  -,
【满堂红链家】石化大院 精装两房,单价12500元/平米,50,| 1室1厅 | 40平米 | 南 | 简装,中楼层(共5层)  1976年建塔楼  -,
鱼木小区 证过五年 税费低 业主急卖,单价19118元/平米,130,| 3室1厅 | 68平米 | 东北 | 简装,低楼层(共5层)  塔楼  -,
金丽园精装3房 带有学位 交通便利 实用,单价14564元/平米,150,| 3室2厅 | 103平米 | 南 | 精装,高楼层(共9层)  塔楼  -,
边检生活区 罕见户型 南北通透 荔园学位,单价17059元/平米,145,| 3室2厅 | 85平米 | 南 | 精装,高楼层(共7层)  塔楼  -,
骏鸿花园 精装大两房 入读省级名校,单价18250元/平米,146,| 2室1厅 | 80平米 | 南 | 简装,高楼层(共6层)  塔楼  -,
