name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
浪琴屿花园，南二外学位，客厅高5.4米，7房5卫4阳台,单价63690元/平米,1800,| 7室2厅 | 282.62平米 | 南 北 | 精装,中楼层(共7层)  2001年建板塔结合  -,
南海玫瑰花园一期 观海四房 满五年唯一 看房随时,单价82192元/平米,1200,| 4室2厅 | 146平米 | 东南 南 | 精装,低楼层(共11层)  2003年建板塔结合  -,
前海自贸区 南山双实验学位 中心花园位置 赠送大阳台,单价75325元/平米,580,| 2室2厅 | 77平米 | 北 | 精装,低楼层(共24层)  2004年建塔楼  -,
东方海雅居 东南向 珍品户型 满五唯一免税 高端装修,单价62180元/平米,485,| 3室2厅 | 78平米 | 东南 | 精装,高楼层(共26层)  2001年建板塔结合  -,
海印长城 连接着海岸城的大型社区臻品户型诚心放卖,单价76924元/平米,800,| 3室2厅 | 104平米 | 北 | 其他,中楼层(共22层)  2003年建板塔结合  -,
前海自贸区 南山双实验学位房 满五唯一免税,单价80676元/平米,430,| 1室1厅 | 53.3平米 | 北 | 简装,高楼层(共24层)  2004年建塔楼  -,
安静东南向，中层，唯一一套诚心急售的房源。,单价62397元/平米,755,| 3室2厅 | 121平米 | 东南 | 其他,中楼层(共33层)  1996年建板塔结合  -,
南二外学位 满五年唯一 无税 全明户型,单价70910元/平米,780,| 3室2厅 | 110平米 | 北 | 简装,低楼层(共11层)  2001年建板塔结合  -,
后海公馆 三房二卫红本在手 育才双学位房,单价95146元/平米,980,| 3室2厅 | 103平米 | 东南 | 精装,低楼层(共28层)  2007年建板塔结合  -,
雍景湾正规两房 全新毛坯  诚心出售,单价103961元/平米,840,| 2室1厅 | 80.8平米 | 东南 | 毛坯,中楼层(共30层)  2012年建板塔结合  -,
南山南头东方新地 南北向 81.3平 正规两房，满五唯一,单价59041元/平米,480,| 2室2厅 | 81.3平米 | 南 北 | 其他,中楼层(共23层)  2005年建塔楼  -,
本月必卖好房 业主诚心出售 看房方便 业主诚售,单价64286元/平米,360,| 2室1厅 | 56平米 | 南 北 | 精装,高楼层(共8层)  2001年建板塔结合  -,
花园城三期，南北通透大四房。红本满五唯一，花园小区,单价90000元/平米,1350,| 4室2厅 | 150平米 | 南 北 | 精装,低楼层(共11层)  2005年建板塔结合  -,
祥祺花园三房南北通透，满五唯一 红本在手,单价54961元/平米,513,| 3室2厅 | 93.34平米 | 南 | 精装,高楼层(共6层)  1997年建板楼  -,
荔林春晓高层南向学位可用送地下车位,单价85913元/平米,730,| 2室2厅 | 84.97平米 | 南 | 精装,高楼层(共21层)  2003年建板塔结合  -,
鼎太风华带实验学位4+1户型，一层带大花园！赠送40平,单价69183元/平米,1100,| 3室1厅 | 159平米 | 南 | 其他,低楼层(共11层)  2004年建板塔结合  -,
南光城市花园  交通便利 配套齐全 采光好,单价88637元/平米,780,| 4室2厅 | 88平米 | 东北 | 精装,中楼层(共32层)  2009年建板塔结合  -,
海印长城 全南朝向 小区中庭 满五唯一 红本在手,单价80230元/平米,698,| 2室2厅 | 87平米 | 南 | 精装,低楼层(共22层)  2003年建板塔结合  -,
悠然天地  一层带花园 满五年唯一 红本在手,单价95239元/平米,1600,| 4室2厅 | 168平米 | 南 北 | 精装,低楼层(共12层)  2004年建板塔结合  -,
邻桃园地铁站  友邻公寓  精装南向小两房 红本无税,单价72369元/平米,275,| 2室1厅 | 38平米 | 南 | 精装,低楼层(共30层)  2006年建塔楼  -,
卓越浅水湾，精装4房，一手业主红本在手带学位。,单价93407元/平米,1700,| 4室2厅 | 182平米 | 南 | 精装,低楼层(共27层)  2006年建板楼  -,
泛海拉菲花园二期 86平三房 满五唯一 业主诚心出售,单价79070元/平米,680,| 3室2厅 | 86平米 | 东南 | 其他,低楼层(共15层)  2012年建塔楼  -,
天鹅堡二期 精装4房 满五唯一 看山、看海！,单价82609元/平米,1900,| 4室2厅 | 230平米 | 南 | 精装,中楼层(共31层)  2002年建板塔结合  -,
前海花园3居室户型方正带前海学位配套齐全生活便利,单价62353元/平米,530,| 3室1厅 | 85平米 | 东 南 西 | 简装,中楼层(共17层)  2003年建板塔结合  -,
爱榕园 小三房 一手业主 双学位,单价63971元/平米,435,| 3室1厅 | 68平米 | 南 | 简装,中楼层(共8层)  1991年建板塔结合  -,
华侨城 波托菲诺侨乡诺园 不临街 楼层高,单价87502元/平米,1130,| 3室2厅 | 129.14平米 | 东南 | 精装,高楼层(共26层)  2008年建板塔结合  -,
天地峰景送入户花园带阁楼，赠送两个超大阳台,单价69073元/平米,670,| 3室2厅 | 97平米 | 南 | 精装,中楼层(共18层)  2006年建板楼  -,
满五唯一，免增值税，免个税，看南山,单价72840元/平米,590,| 2室2厅 | 81平米 | 西南 | 精装,低楼层(共16层)  2004年建板塔结合  -,
方鼎华庭 安静两房 环境优雅 中高楼层 采光通风好,单价68733元/平米,488,| 2室1厅 | 71平米 | 东 西 | 精装,中楼层(共11层)  2008年建板塔结合  -,
英达钰龙园 满五唯一 格局方正 安静西南向,单价65169元/平米,580,| 3室2厅 | 89平米 | 东 南 | 精装,低楼层(共31层)  2004年建塔楼  -,
中海阳光玫瑰园  两房  视野开阔,单价75926元/平米,410,| 2室1厅 | 54平米 | 东南 | 简装,高楼层(共17层)  2009年建塔楼  -,
纯水岸九期~南北通透+双阳台~雁栖湖全景！,单价114286元/平米,2800,| 5室2厅 | 245平米 | 南 北 | 毛坯,高楼层(共32层)  2009年建板塔结合  -,
新海大厦，优质两房，满五唯一。,单价51495元/平米,448,| 2室2厅 | 87平米 | 西南 | 精装,高楼层(共17层)  板塔结合  -,
华侨城优质小区三房，安静通风，朝南看海景,单价67257元/平米,760,| 3室2厅 | 113平米 | 南 | 精装,低楼层(共32层)  2000年建板塔结合  -,
悠然天地 业主急售的四居室 南北通透,单价94672元/平米,1320,| 4室2厅 | 139.43平米 | 南 北 | 精装,高楼层(共18层)  2004年建板塔结合  -,
鸿威海怡湾 观一线海景 一本证 红本在手,单价104896元/平米,1500,| 4室2厅 | 143平米 | 南 北 | 精装,中楼层(共24层)  2011年建板塔结合  -,
众冠花园 精装一房 南向看花园 满五唯一无税,单价51814元/平米,230,| 2室1厅 | 44.39平米 | 南 | 精装,中楼层(共12层)  板楼  -,
