name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
自住靓房 经典跃式 东南 安静朝向,单价55325元/平米,426,| 2室2厅 | 77平米 | 南 | 简装,中楼层(共18层)  2001年建板塔结合  -,
长城盛世二期 正南向 高层两房 诚心出售,单价68532元/平米,485,| 2室2厅 | 70.77平米 | 南 | 精装,高楼层(共34层)  2004年建塔楼  -,
蓝湾半岛满五唯一红本在手无个税无增值税,单价62845元/平米,685,| 3室2厅 | 109平米 | 东 西 | 精装,低楼层(共33层)  2003年建塔楼  -,
方正户型大三房 满五唯一 带双阳台 看房方便有钥匙,单价81082元/平米,780,| 3室2厅 | 96.2平米 | 南 北 | 精装,低楼层(共9层)  1990年建板塔结合  -,
碧华庭居 大2房送60平米私家花园可种菜可改三房,单价62169元/平米,516,| 2室2厅 | 83平米 | 西北 | 简装,低楼层(共17层)  2000年建塔楼  -,
南北通四居室 安静看公园 红本五年,单价68549元/平米,850,| 4室1厅 | 124平米 | 南 北 | 精装,低楼层(共34层)  2004年建塔楼  -,
一年难得出来一套，通风绝对好，看小区看莲花山。,单价57084元/平米,548,| 3室2厅 | 96平米 | 西南 | 精装,高楼层(共25层)  1993年建板塔结合  -,
中城天邑   三房南向安静海景！,单价72000元/平米,720,| 3室1厅 | 100平米 | 南 | 精装,高楼层(共32层)  2008年建板塔结合  -,
福田 水围近地铁 高层精装实用三房 朝南看公园景,单价62500元/平米,480,| 3室1厅 | 76.8平米 | 西南 | 精装,高楼层(共33层)  2003年建板塔结合  -,
嘉洲豪园，高尔夫景观大两房，户型方正，业主诚心出售,单价51949元/平米,400,| 2室1厅 | 77平米 | 北 | 精装,低楼层(共22层)  2001年建板塔结合  -,
福田本周必卖低总价的两房，朝南，满五年唯一，临地铁,单价57143元/平米,240,| 2室1厅 | 42平米 | 西南 | 精装,高楼层(共15层)  1999年建塔楼  -,
梅林一村 可看水库公园 居家好房 安家首选,单价63334元/平米,570,| 3室2厅 | 90平米 | 东北 | 简装,中楼层(共32层)  2002年建板塔结合  -,
一手业主 诚心出售 地铁口物业 东南向，看房方便,单价57143元/平米,520,| 3室2厅 | 91平米 | 南 | 精装,低楼层(共32层)  2007年建塔楼  -,
高层朝南两房户型方正实用近福田口岸业主自住装修不错,单价56452元/平米,350,| 2室2厅 | 62平米 | 南 | 精装,高楼层(共32层)  2001年建板塔结合  -,
莲花二村 小复式 楼层适中  看房方便,单价71131元/平米,290,| 2室1厅 | 40.77平米 | 北 | 简装,中楼层(共7层)  2009年建板塔结合  -,
宣嘉华庭稀缺4房!高层观景，满五年无税,单价45455元/平米,750,| 4室2厅 | 165平米 | 南 | 简装,中楼层(共31层)  2000年建板塔结合  -,
一线海景房 福田重点学区房 满5年唯一红本！,单价75054元/平米,698,| 2室2厅 | 93平米 | 东南 | 精装,低楼层(共34层)  2005年建板塔结合  -,
高层海景房 南北通透 满五唯一 业主诚售,单价66950元/平米,790,| 3室2厅 | 118平米 | 东南 | 简装,中楼层(共32层)  2001年建板塔结合  -,
地铁口物业 带明德实验学位 标准四房 诚心出售 方便,单价59056元/平米,750,| 4室2厅 | 127平米 | 东北 | 精装,低楼层(共16层)  1997年建板塔结合  -,
送露台，满五年唯一税少，黄金楼层，带莲花学位,单价75050元/平米,610,| 2室2厅 | 81.28平米 | 南 北 | 精装,中楼层(共6层)  1990年建板塔结合  -,
满五年 红本在手 南北通透 户型方正,单价73478元/平米,776,| 3室2厅 | 105.61平米 | 南 北 | 简装,中楼层(共32层)  2008年建板塔结合  -,
满五年唯一  地铁口带学位 高层精装修安静,单价57609元/平米,530,| 3室2厅 | 92平米 | 西北 | 精装,中楼层(共32层)  2007年建塔楼  -,
一手业主 朝南看海 户型方正 3+1房 双阳台,单价70471元/平米,935,| 3室2厅 | 132.68平米 | 南 | 其他,低楼层(共45层)  2003年建板塔结合  -,
福田区金港豪庭标准3房 南向 满五唯一,单价62627元/平米,620,| 3室2厅 | 99平米 | 南 | 简装,低楼层(共32层)  2003年建塔楼  -,
宣嘉华庭 三房双卫 红本在手 满五唯一,单价59091元/平米,455,| 3室1厅 | 77平米 | 北 | 精装,中楼层(共31层)  2000年建板塔结合  -,
皇御苑二期 朝小区里面 安静看花园,单价56558元/平米,345,| 2室1厅 | 61平米 | 北 | 精装,低楼层(共31层)  2003年建板塔结合  -,
吉莲大厦东南向两房 红本五年唯一税费少,单价59524元/平米,500,| 2室2厅 | 84平米 | 东南 | 精装,低楼层(共28层)  1993年建板塔结合  -,
港田花园满五唯一红本在手有钥匙近福田口岸看房方便,单价52809元/平米,470,| 3室2厅 | 89平米 | 东南 | 精装,中楼层(共32层)  2001年建板塔结合  -,
地质局 少有罕见户型 荔园+红岭学位 紧邻外国语学校,单价72290元/平米,690,| 3室2厅 | 95.45平米 | 东北 | 简装,高楼层(共16层)  板塔结合  -,
金海燕花园 地铁口 安静舒适4房 明德学位,单价62993元/平米,800,| 4室2厅 | 127平米 | 东北 | 精装,中楼层(共16层)  1997年建板塔结合  -,
东南向稀缺小三房户型方正实用近口岸地铁旁看房方便,单价52500元/平米,336,| 3室1厅 | 64平米 | 西 | 精装,中楼层(共32层)  2001年建板塔结合  -,
彩云居优质三房，成交在即，低于同户型30万，户型方正,单价54118元/平米,460,| 3室1厅 | 85平米 | 东北 | 简装,高楼层(共30层)  2001年建板塔结合  -,
绿景新苑 小高层实用 南北通大三房  诚心卖！,单价55358元/平米,620,| 3室2厅 | 112平米 | 南 | 精装,中楼层(共11层)  2002年建板楼  -,
位置安静，户型方正保养好，满五年唯一，红本在手,单价67442元/平米,580,| 3室2厅 | 86平米 | 东北 | 精装,低楼层(共34层)  2004年建塔楼  -,
滨河新村  不临街  ，三房  红本在手。南北阳台。,单价50477元/平米,450,| 3室2厅 | 89.15平米 | 南 北 | 精装,中楼层(共8层)  1989年建板楼  -,
福田中心区，朝东南向三房，客厅出阳台，刚需首选,单价48661元/平米,405,| 3室2厅 | 83.23平米 | 东南 | 简装,中楼层(共19层)  1997年建板楼  -,
彩天名苑2居室诚心出售，满五唯一，税费少，核心地段,单价56558元/平米,345,| 2室1厅 | 61平米 | 西 | 简装,中楼层(共32层)  2001年建板塔结合  -,
满5年，唯一住房，大阳台,单价55469元/平米,355,| 2室1厅 | 64平米 | 北 | 精装,高楼层(共18层)  2003年建塔楼  -,
滨江新村，大三房，一层带院,单价51223元/平米,505,| 3室1厅 | 98.59平米 | 南 | 简装,低楼层(共8层)  1984年建板塔结合  -,
梅林一村 方厅 看公园 诚意出售,单价66667元/平米,600,| 3室2厅 | 90平米 | 北 | 精装,低楼层(共32层)  2002年建板塔结合  -,
中心公园旁 稀缺西南 看学校公园 税费很少,单价46914元/平米,190,| 1室1厅 | 40.5平米 | 南 | 精装,高楼层(共34层)  2002年建塔楼  -,
京基御景华城中高楼南向精装两房业主诚售,单价59091元/平米,390,| 2室1厅 | 66平米 | 西南 | 其他,中楼层(共34层)  2005年建板塔结合  -,
紧邻地铁口 小区安静适合居住 满五年唯一红本在手,单价54309元/平米,668,| 3室2厅 | 123平米 | 东北 | 简装,高楼层(共18层)  1999年建板塔结合  -,
高楼层通透格局赠送9平米阳光大书房+大露台,单价69362元/平米,520,| 3室2厅 | 74.97平米 | 东 西 | 精装,高楼层(共16层)  2008年建板塔结合  -,
赛格绿茵阁 福民地铁低密花园社区 正南向两房厅出阳台,单价56618元/平米,385,| 2室1厅 | 68平米 | 南 | 简装,高楼层(共18层)  1999年建板塔结合  -,
滨江新村 精装三房 黄金楼层 红本无税,单价49286元/平米,483,| 3室2厅 | 98平米 | 南 | 精装,中楼层(共8层)  1984年建板塔结合  -,
满五唯一、地铁口物业、小户型投资自住皆可、热门小区,单价59757元/平米,245,| 1室1厅 | 41平米 | 东 | 简装,中楼层(共29层)  2005年建板塔结合  -,
户型方正南北通 地铁口稀缺大三房,单价56297元/平米,608,| 3室2厅 | 108平米 | 北 | 精装,中楼层(共14层)  1999年建塔楼  -,
卓悦城商圈 双地铁 南向两房 精装修,单价62051元/平米,345,| 2室1厅 | 55.6平米 | 南 | 精装,高楼层(共30层)  2003年建板塔结合  -,
双地铁口，户型方正南向两房，采光通风好,单价52723元/平米,275,| 2室1厅 | 52.16平米 | 南 | 简装,中楼层(共12层)  2000年建塔楼  -,
高层南向景观房，带车位，红本满五，唯一住宅，精装修,单价79167元/平米,950,| 4室2厅 | 120平米 | 南 | 精装,高楼层(共24层)  2002年建板塔结合  -,
福昌苑：大社区南北通,大3房,户型方正,地铁房,,单价62546元/平米,688,| 3室2厅 | 110平米 | 北 | 简装,低楼层(共14层)  2000年建板塔结合  -,
通心岭 中间层 南北通透 地铁口100米 荔枝公园旁！,单价91550元/平米,650,| 2室1厅 | 71平米 | 南 北 | 简装,中楼层(共6层)  1995年建板塔结合  -,
蓝湾半岛大三房  满五唯一红本在手  诚心出售,单价64886元/平米,850,| 3室2厅 | 131平米 | 南 | 精装,低楼层(共33层)  2003年建塔楼  -,
华强北，荔园小学加红岭中学，满五唯一。,单价71048元/平米,746,| 3室2厅 | 105平米 | 南 西 北 | 精装,中楼层(共33层)  2001年建板塔结合  -,
福荣路上大三房 高层全海景 户型方正,单价76773元/平米,785,| 3室2厅 | 102.25平米 | 东南 | 其他,高楼层(共33层)  2003年建板塔结合  -,
繁华地段 精装 高层 红本在手 过户快费用低,单价66667元/平米,380,| 2室2厅 | 57平米 | 北 | 精装,高楼层(共32层)  2004年建塔楼  -,
御景华城全名格局两居 高楼层看香港,单价60726元/平米,400,| 2室1厅 | 65.87平米 | 西南 | 其他,高楼层(共34层)  2005年建板塔结合  -,
东南朝向，超值两房，交通便利，附带学位,单价44828元/平米,260,| 2室1厅 | 58平米 | 东 | 简装,中楼层(共34层)  2002年建塔楼  -,
香蜜湖农科，中旅国际公馆三居室，格局好，采光佳。,单价119659元/平米,1400,| 3室2厅 | 117平米 | 南 | 精装,高楼层(共30层)  2005年建板塔结合  -,
新洲新洋房南向三房看花园 少有户型出售  有钥匙,单价62500元/平米,600,| 3室1厅 | 96平米 | 南 | 简装,中楼层(共16层)  2004年建板塔结合  -,
2012年新楼盘，毛坯房 可改三房两卫 随时看房,单价60898元/平米,475,| 2室2厅 | 78平米 | 东 | 毛坯,低楼层(共20层)  2012年建板塔结合  -,
稀缺经典复式房带花园，满五年无税，格局方正双南设计,单价61331元/平米,600,| 5室2厅 | 97.83平米 | 南 | 简装,高楼层(共8层)  1994年建板塔结合  -,
新上房源 101平3+1房 视野开阔  红本无税 有钥匙,单价66923元/平米,680,| 3室2厅 | 101.61平米 | 东北 | 精装,低楼层(共34层)  2004年建塔楼  -,
福田花园大厦 精装复式 带30平方私家花园,单价57723元/平米,1200,| 5室2厅 | 207.89平米 | 西北 | 精装,高楼层(共27层)  2011年建板塔结合  -,
御景华城东向两房 对花园 满五唯一 非大小房,单价55077元/平米,358,| 2室1厅 | 65平米 | 东 | 简装,低楼层(共35层)  2005年建板塔结合  -,
御景华城楼王一房 南向观香港米铺 满五唯一 红本在手,单价60000元/平米,240,| 1室1厅 | 40平米 | 西南 | 精装,高楼层(共36层)  2005年建板塔结合  -,
天都世纪，满五年红本在手，地铁口物业,单价52917元/平米,254,| 1室1厅 | 48平米 | 东南 | 精装,低楼层(共32层)  2007年建塔楼  -,
福田中心区 赛格绿茵阁 低密社区 方正两房 随时看房,单价57038元/平米,385,| 2室2厅 | 67.5平米 | 南 | 精装,中楼层(共18层)  1999年建板塔结合  -,
双地铁口  双学位房 园岭外国语学位房,单价57038元/平米,263,| 1室0厅 | 46.11平米 | 西南 | 简装,中楼层(共33层)  2005年建板塔结合  -,
彩田村精装三房 满五唯一税费少 小区中心位置安静,单价71429元/平米,650,| 3室2厅 | 91平米 | 南 | 精装,低楼层(共27层)  2002年建板塔结合  -,
朝南三居室，看荔枝公园带学区的红岭大厦,单价48193元/平米,400,| 3室1厅 | 83平米 | 南 西 | 简装,高楼层(共28层)  1985年建板塔结合  -,
世界贸易广场双地铁口物业出售，随时看房,单价27226元/平米,1000,| 7室2厅 | 367.3平米 | 西 | 简装,中楼层(共24层)  1994年建塔楼  -,
香蜜二村 南北通楼梯房 住家投资首选,单价57832元/平米,480,| 2室1厅 | 83平米 | 南 北 | 精装,中楼层(共7层)  1996年建塔楼  -,
祥云天都世纪 地铁房 楼层好 视野好,单价52500元/平米,420,| 2室2厅 | 80平米 | 东南 | 精装,低楼层(共32层)  2007年建塔楼  -,
深业花园3房出售 满五年唯一,单价75000元/平米,900,| 3室2厅 | 120平米 | 西北 | 精装,低楼层(共30层)  2001年建塔楼  -,
大型公园式社区 朝南2房 业主移民急售,单价63580元/平米,530,| 2室2厅 | 83.36平米 | 南 | 简装,低楼层(共18层)  2001年建板塔结合  -,
里奥的花园方正2房  精装修 带固定车位,单价56810元/平米,390,| 2室2厅 | 68.65平米 | 东北 | 精装,中楼层(共23层)  2004年建塔楼  -,
荔园小学加红岭中学居家大三房，总价低,单价70094元/平米,750,| 5室1厅 | 107平米 | 西北 | 精装,高楼层(共29层)  1999年建板塔结合  -,
合正瑞园 精装4房 稀缺户型 经典装修,单价75985元/平米,660,| 4室1厅 | 86.86平米 | 南 | 精装,高楼层(共26层)  2006年建板塔结合  -,
户型方正 厅出阳台 业主诚心出售,单价49773元/平米,415,| 2室2厅 | 83.38平米 | 北 | 精装,高楼层(共19层)  1997年建塔楼  -,
福田 公园近地铁 高层东南向 精装两房 红本满5年,单价60401元/平米,365,| 2室2厅 | 60.43平米 | 东南 | 精装,中楼层(共32层)  2003年建板塔结合  -,
福田中心区 购物公园站 229平米大户型 诚意放卖,单价72053元/平米,1650,| 5室2厅 | 229平米 | 南 | 精装,低楼层(共21层)  2004年建板塔结合  -,
一首业主，满五唯一，安静舒适，看房方便 拎包入住,单价65162元/平米,580,| 3室2厅 | 89.01平米 | 南 | 精装,低楼层(共33层)  2004年建塔楼  -,
蜜园 温馨两房，高楼层，准地铁口，红本在手,单价54839元/平米,340,| 2室1厅 | 62平米 | 北 | 精装,高楼层(共33层)  2007年建塔楼  -,
上梅林华茂苑大三房  方正户型 安静不靠马路,单价53093元/平米,515,| 3室2厅 | 97平米 | 南 北 | 精装,中楼层(共7层)  1997年建板楼  -,
看房有钥匙，中间楼层，红本在手,单价50516元/平米,490,| 3室2厅 | 97平米 | 南 | 简装,低楼层(共7层)  1993年建板塔结合  -,
皇御苑一期一房 税费少 业主诚心出售,单价54286元/平米,380,| 2室2厅 | 70平米 | 北 | 精装,低楼层(共35层)  1998年建板塔结合  -,
户型方正 正南向安静大两房A户型满五唯一！,单价55061元/平米,420,| 2室2厅 | 76.28平米 | 南 北 | 简装,高楼层(共7层)  1993年建板塔结合  -,
国城花园 方正两房 朝小区安静 学位空置,单价107955元/平米,950,| 2室2厅 | 88平米 | 西 | 精装,低楼层(共31层)  1995年建板塔结合  -,
四季山水一本证南北通透三房，高楼层豪华装修，免个税,单价84211元/平米,1280,| 3室2厅 | 152平米 | 南 北 | 精装,高楼层(共32层)  2010年建塔楼  -,
新洲蜜园精装修两房，红本在手满五年无个税,单价54839元/平米,340,| 2室1厅 | 62平米 | 东北 | 精装,低楼层(共33层)  2007年建塔楼  -,
精装修 超实用 标准三房 视野开阔,单价61039元/平米,470,| 3室2厅 | 77平米 | 南 | 简装,低楼层(共33层)  2003年建板塔结合  -,
中银花园 双地铁 黄金楼层 学区房 室内可观莲花山景,单价49299元/平米,418,| 2室2厅 | 84.79平米 | 西北 | 简装,中楼层(共31层)  1997年建塔楼  -,
万科一线海景房 红本在手税费少 看房方便！,单价77982元/平米,850,| 3室1厅 | 109平米 | 南 | 精装,中楼层(共34层)  2003年建板塔结合  -,
地铁口物业 精装修，刚装了一年，全新家私,单价59783元/平米,550,| 3室2厅 | 92平米 | 南 | 精装,中楼层(共32层)  2007年建塔楼  -,
华强花园 满五年红本 户型方正 红本在手,单价53948元/平米,410,| 2室1厅 | 76平米 | 西北 | 精装,中楼层(共33层)  2001年建板塔结合  -,
益田村 3室2厅 520万,单价67533元/平米,520,| 3室2厅 | 77平米 | 南 | 简装,中楼层(共7层)  板塔结合  -,
地铁口物业.蜜园.安静新装修一房.诚售,单价59494元/平米,235,| 1室1厅 | 39.5平米 | 东北 | 精装,低楼层(共33层)  2007年建塔楼  -,
南向高层，一线海景，户型方正，满二税少，业主诚售。,单价75943元/平米,715,| 2室2厅 | 94.15平米 | 南 | 其他,低楼层(共34层)  2005年建板塔结合  -,
红岭学区三居室，精装修，紧邻地铁，带电梯,单价47059元/平米,400,| 3室1厅 | 85平米 | 南 北 | 精装,低楼层(共28层)  1985年建板塔结合  -,
香蜜湖笋盘❤侨香外国语学位❤南北小高层❤舒适安静,单价85140元/平米,880,| 3室2厅 | 103.36平米 | 南 | 简装,中楼层(共12层)  2000年建板楼  -,
海滨广场，总低价，小两房,单价51064元/平米,240,| 2室1厅 | 47平米 | 西北 | 精装,低楼层(共19层)  1995年建板塔结合  -,
皇庭彩园，满五唯一，东南，地铁学区,单价60460元/平米,376,| 2室1厅 | 62.19平米 | 东南 | 简装,低楼层(共33层)  2003年建板塔结合  -,
园中花园 大三房 园岭外国语小学+红岭中学。,单价65385元/平米,680,| 3室2厅 | 104平米 | 西北 | 简装,低楼层(共31层)  1996年建塔楼  -,
梅林一村三区 南向高层观景三房 满五年唯一税费少,单价70739元/平米,630,| 3室2厅 | 89.06平米 | 南 | 精装,中楼层(共32层)  2002年建板塔结合  -,
擎天华庭 景田第一高楼 学位居家三房 诚售,单价60061元/平米,720,| 3室2厅 | 119.88平米 | 东 | 简装,高楼层(共44层)  2003年建板塔结合  -,
深业花园 精装3房 户型方正 南北通透  满五年唯一税少,单价94937元/平米,1050,| 3室2厅 | 110.6平米 | 南 北 | 精装,高楼层(共22层)  2001年建塔楼  -,
正规2居室 南北通透 中间楼层 荔园小学+实验中学,单价81610元/平米,710,| 2室2厅 | 87平米 | 南 北 | 简装,中楼层(共17层)  1989年建塔楼  -,
南向、厅出阳台、红本无税、户型方正、诚售、林园小区,单价71795元/平米,560,| 2室1厅 | 78平米 | 南 | 精装,高楼层(共16层)  2003年建板塔结合  -,
建业大厦，精装修两房，近地铁，景观好，,单价71765元/平米,610,| 2室2厅 | 85平米 | 北 | 精装,高楼层(共27层)  2002年建板塔结合  -,
旭飞花园小区，红本在手，在建地铁口学区房！,单价52689元/平米,195,| 1室1厅 | 37.01平米 | 北 | 简装,高楼层(共28层)  1999年建板塔结合  -,
中城天邑  满五年唯一 大三房  南北通透  动静分离,单价76032元/平米,820,| 4室2厅 | 107.85平米 | 南 北 | 精装,中楼层(共32层)  2008年建板楼  -,
百花园一期  仅此一套在售大两房 东南向 满五唯一,单价107568元/平米,860,| 2室2厅 | 79.95平米 | 东南 | 毛坯,中楼层(共28层)  2000年建塔楼  -,
景新花园 莲花山脚下物业 配套成熟交通便利,单价50516元/平米,490,| 3室2厅 | 97平米 | 东北 | 简装,低楼层(共29层)  1997年建塔楼  -,
满五唯一红本在手 南向看香港三房 户型方正 南北通透,单价57346元/平米,648,| 3室1厅 | 113平米 | 南 | 简装,中楼层(共31层)  2002年建板塔结合  -,
碧云天 南向大两房 安静看园景 地铁口 精装诚售,单价54321元/平米,440,| 2室1厅 | 81平米 | 南 | 精装,高楼层(共13层)  1999年建板塔结合  -,
绿景花园 2室1厅 445万,单价62677元/平米,445,| 2室1厅 | 71平米 | 北 | 精装,低楼层(共29层)  2005年建板塔结合  -,
都市花园二期2房64㎡ 高层景观 看房方便 交通方便,单价59375元/平米,380,| 2室2厅 | 64平米 | 东南 | 精装,高楼层(共35层)  1998年建板塔结合  -,
