name_of_community,layout_of_house,price_of_house,area_of_house,floor_of_house,time_of_construction
玉雅居，两房，近仙桐公园空气好,单价48953元/平米,285,| 2室2厅 | 58.22平米 | 东南 北 | 其他,低楼层(共10层)  1998年建板塔结合  -,
名骏豪庭 三房两厅 方正实用 看房方便 节省税费,单价55814元/平米,480,| 3室2厅 | 86平米 | 北 | 精装,中楼层(共18层)  2003年建板塔结合  -,
深城公寓一室一厅，低单价地铁即将通车,单价44491元/平米,170,| 1室1厅 | 38.21平米 | 南 | 简装,高楼层(共31层)  2000年建板塔结合  -,
东悦名轩正规大两房 东南朝向 税费少,单价64795元/平米,450,| 2室2厅 | 69.45平米 | 东 | 简装,低楼层(共33层)  2002年建板塔结合  -,
正规两房，高楼层 ，精装修，看花园,单价81082元/平米,600,| 2室2厅 | 74平米 | 南 西南 | 精装,中楼层(共33层)  2006年建板塔结合  -,
雍翠华府看花园两房，客厅出阳台，满五唯一,单价52460元/平米,320,| 2室1厅 | 61平米 | 北 | 其他,高楼层(共33层)  2004年建板塔结合  -,
星湖花园 满五唯一高楼层学区房地铁房,单价53072元/平米,343,| 2室2厅 | 64.63平米 | 东南 | 简装,中楼层(共28层)  2005年建板塔结合  -,
鹏兴花园二期、精装两居室、满五年带学位,单价57596元/平米,345,| 2室2厅 | 59.9平米 | 北 | 简装,中楼层(共16层)  2000年建板塔结合  -,
凯悦华庭 红本在手 满五唯一,单价47795元/平米,325,| 2室1厅 | 68平米 | 南 | 简装,高楼层(共29层)  2002年建塔楼  -,
青湖山庄，两房两厅一厨一卫，满五年，带九年制学位,单价38710元/平米,240,| 2室2厅 | 62平米 | 南 | 其他,中楼层(共8层)  2000年建板塔结合  -,
优质笋盘 通透两房 端头位置 红本免税 带名校学位,单价41845元/平米,245,| 2室1厅 | 58.55平米 | 南 北 | 精装,中楼层(共8层)  1988年建板塔结合  -,
汇鑫花园两房 花园式小区 配套全 安静舒适   居家首选,单价50976元/平米,290,| 2室1厅 | 56.89平米 | 西南 | 精装,中楼层(共9层)  2000年建板楼  -,
布心 青橙时代 自住装修两房 朝南 通透户型 装修好,单价58109元/平米,215,| 2室1厅 | 37平米 | 南 | 精装,中楼层(共8层)  2006年建板塔结合  -,
雍翠华府 朝南两房 满五年免税 采光好,单价51177元/平米,348,| 2室2厅 | 68平米 | 南 | 其他,中楼层(共35层)  2004年建板塔结合  -,
嘉宝田花园标准两房，朝花园居住舒适,单价60295元/平米,410,| 2室2厅 | 68平米 | 西北 | 简装,低楼层(共16层)  2002年建板塔结合  -,
满五唯一，同户型总价触底，业主诚心急售,单价47728元/平米,315,| 2室1厅 | 66平米 | 北 | 精装,低楼层(共28层)  2003年建板塔结合  -,
布心花园二区 精装3房 稀缺户型 低楼层 居家投资首选,单价48232元/平米,450,| 3室2厅 | 93.3平米 | 南 北 | 精装,低楼层(共8层)  1987年建板塔结合  -,
优质笋盘 南向两房  免税豪宅 拎包入住 易改三房,单价46109元/平米,378,| 2室2厅 | 81.98平米 | 南 | 精装,低楼层(共34层)  2002年建板塔结合  -,
业主换房 满五年且唯一免个税 看房方便,单价41936元/平米,260,| 2室1厅 | 62平米 | 西 | 简装,中楼层(共31层)  2000年建板塔结合  -,
翠园中学学区大三房 双阳台 待拆迁 满五唯一 诚心出售,单价44330元/平米,410,| 3室2厅 | 92.49平米 | 南 | 简装,中楼层(共8层)  1992年建板塔结合  -,
合正锦湖魅力城稀缺两房，客厅层高3米9，精装修送家电,单价59211元/平米,450,| 2室2厅 | 76平米 | 东南 | 精装,高楼层(共31层)  2008年建板塔结合  -,
京基东方都会 精装一房 只需契税购房低成本 新秀,单价48397元/平米,172,| 1室1厅 | 35.54平米 | 西 | 精装,低楼层(共32层)  2004年建板塔结合  -,
满5年唯一住房，红本在手，方正一房一厅，带空中花园,单价46342元/平米,190,| 1室1厅 | 41平米 | 东 | 简装,高楼层(共20层)  1998年建塔楼  -,
红桂皇冠 低总价原始两房 住宅满5年红本,单价57895元/平米,220,| 2室1厅 | 38平米 | 南 西 | 精装,中楼层(共26层)  2006年建板塔结合  -,
山湖居  布心地铁站  满五唯一 顶楼复式带花园,单价54334元/平米,620,| 4室2厅 | 114.11平米 | 南 | 精装,高楼层(共10层)  2002年建板塔结合  -,
靠山物业 满五年唯一 有固定地下车位 南向大四房,单价61250元/平米,980,| 4室2厅 | 160平米 | 南 | 其他,中楼层(共34层)  2002年建板塔结合  -,
罗湖淘金山 170平户型 豪华四房 端头位置瞰湖景,单价74717元/平米,1300,| 4室2厅 | 173.99平米 | 南 | 精装,高楼层(共32层)  2006年建板塔结合  -,
免增值税红本在手正规一房一厅中间楼层好采光好地段好,单价48911元/平米,220,| 1室1厅 | 44.98平米 | 南 | 简装,低楼层(共20层)  1998年建塔楼  -,
东南向 看围岭山 采光视野超棒,单价48485元/平米,320,| 2室1厅 | 66平米 | 东南 | 简装,高楼层(共23层)  2008年建板塔结合  -,
青湖山庄 南向二房 楼层好 满五唯一,单价35617元/平米,260,| 2室1厅 | 73平米 | 南 | 简装,中楼层(共8层)  2000年建板塔结合  -,
东方凤雅台，精装修朝南两房，满五唯一，红本在手.,单价48334元/平米,290,| 2室2厅 | 60平米 | 南 | 精装,中楼层(共9层)  2002年建板塔结合  -,
幸福里雅居 南向双卫两居室 厅出阳台 红本在手,单价100000元/平米,950,| 2室1厅 | 95平米 | 南 | 简装,低楼层(共48层)  塔楼  -,
嘉宝田花园 南向四房 带超大平台 错层改有露台,单价79471元/平米,1200,| 4室2厅 | 151平米 | 南 | 精装,高楼层(共31层)  2002年建板塔结合  -,
